DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1186/s40537-015-0029-9,Survey of review spam detection using machine learning techniques,"Michael Crawford, Taghi M. Khoshgoftaar, Joseph D. Prusa, Aaron N. Richter, Hamzah Al Najada",Journal of Big Data,2015,"Online reviews are often the primary factor in a customer’s decision to purchase a product or service, and are a valuable source of information that can be used to determine public opinion on these products or services. Because of their impact, manufacturers and retailers are highly concerned with customer feedback and reviews. Reliance on online reviews gives rise to the potential concern that wrongdoers may create false reviews to artificially promote or devalue products and services. This practice is known as Opinion (Review) Spam, where spammers manipulate and poison reviews (i.e., making fake, untruthful, or deceptive reviews) for profit or gain. Since not all online reviews are truthful and trustworthy, it is important to develop techniques for detecting review spam. By extracting meaningful features from the text using Natural Language Processing (NLP), it is possible to conduct review spam detection using various machine learning techniques. Additionally, reviewer information, apart from the text itself, can be used to aid in this process. In this paper, we survey the prominent machine learning techniques that have been proposed to solve the problem of review spam detection and the performance of different approaches for classification and detection of review spam. The majority of current research has focused on supervised learning methods, which require labeled data, a scarcity when it comes to online review spam. Research on methods for Big Data are of interest, since there are millions of online reviews, with many more being generated daily. To date, we have not found any papers that study the effects of Big Data analytics for review spam detection. The primary goal of this paper is to provide a strong and comprehensive comparative study of current research on detecting review spam using various machine learning techniques and to devise methodology for conducting further investigation.",150325417,571,68,,
10.1145/2786805.2786852,"Hey, you have given me too many knobs!: understanding and dealing with over-designed configuration in system software","Tianyin Xu, Long Jin, Xuepeng Fan, Yuanyuan Zhou, S. Pasupathy, Rukma Talwadker",ESEC/SIGSOFT FSE,2015,"Configuration problems are not only prevalent, but also severely impair the reliability of today's system software. One fundamental reason is the ever-increasing complexity of configuration, reflected by the large number of configuration parameters (""knobs""). With hundreds of knobs, configuring system software to ensure high reliability and performance becomes a daunting, error-prone task. This paper makes a first step in understanding a fundamental question of configuration design: ""do users really need so many knobs?"" To provide the quantitatively answer, we study the configuration settings of real-world users, including thousands of customers of a commercial storage system (Storage-A), and hundreds of users of two widely-used open-source system software projects. Our study reveals a series of interesting findings to motivate software architects and developers to be more cautious and disciplined in configuration design. Motivated by these findings, we provide a few concrete, practical guidelines which can significantly reduce the configuration space. Take Storage-A as an example, the guidelines can remove 51.9% of its parameters and simplify 19.7% of the remaining ones with little impact on existing users. Also, we study the existing configuration navigation methods in the context of ""too many knobs"" to understand their effectiveness in dealing with the over-designed configuration, and to provide practices for building navigation support in system software.",78525033,272,71,,
10.1109/ase.2017.8115661,Transfer learning for performance modeling of configurable systems: an exploratory analysis,"Pooyan Jamshidi, Norbert Siegmund, Miguel Velez, Christian Kästner, Akshay Patel, Yuvraj Agarwal",(missing journal),2017,"Modern software systems provide many configuration options which significantly influence their non-functional properties. To understand and predict the effect of configuration options, several sampling and learning strategies have been proposed, albeit often with significant cost to cover the highly dimensional configuration space. Recently, transfer learning has been applied to reduce the effort of constructing performance models by transferring knowledge about performance behavior across environments. While this line of research is promising to learn more accurate models at a lower cost, it is unclear why and when transfer learning works for performance modeling. To shed light on when it is beneficial to apply transfer learning, we conducted an empirical study on four popular software systems, varying software configurations and environmental conditions, such as hardware, workload, and software versions, to identify the key knowledge pieces that can be exploited for transfer learning. Our results show that in small environmental changes (e.g., homogeneous workload change), by applying a linear transformation to the performance model, we can understand the performance behavior of the target environment, while for severe environmental changes (e.g., drastic workload change) we can transfer only knowledge that makes sampling more efficient, e.g., by reducing the dimensionality of the configuration space.",84003598,197,82,,
10.1145/3302333.3302338,Towards Learning-Aided Configuration in 3D Printing: Feasibility Study and Application to Defect Prediction,"Benoit Amand, Maxime Cordy, P. Heymans, M. Acher, Paul Temple, J. Jézéquel",VaMoS,2019,"Configurators rely on logical constraints over parameters to aid users and determine the validity of a configuration. However, for some domains, capturing such configuration knowledge is hard, if not infeasible. This is the case in the 3D printing industry, where parametric 3D object models contain the list of parameters and their value domains, but no explicit constraints. This calls for a complementary approach that learns what configurations are valid based on previous experiences. In this paper, we report on preliminary experiments showing the capability of state-of-the-art classification algorithms to assist the configuration process. While machine learning holds its promises when it comes to evaluation scores, an in-depth analysis reveals the opportunity to combine the classifiers with constraint solvers.",205351805,28,49,,
10.1109/tsc.2014.2377724,Personalized Decision-Strategy based Web Service Selection using a Learning-to-Rank Algorithm,"M. S. Saleem, Chen Ding, Xumin Liu, C. Chi",IEEE Transactions on Services Computing,2015,"In order to choose from a list of functionally similar services, users often need to make their decisions based on multiple QoS criteria they require on the target service. In this process, different users may follow different decision making strategies, some are compensatory in which only an overall value on all the criteria is evaluated, some evaluate one criterion at a time in the order of their importance levels, while others count on the number of winning criteria. Most of the current QoS-based service selection systems do not consider these decision strategies in the ranking process, which we believe are crucial for generating accurate ranking results for individual users. In this paper, we propose a decision strategy based service ranking model. Furthermore, considering that different users follow different strategies in different contexts at different times, we apply a machine learning algorithm to learn a personalized ranking model for individual users based on how they select services in the past. We have implemented and tested the proposed approach, and our experiment results show the effectiveness of the approach.",166346353,22,27,,
10.1145/2885497,Patterns in the Chaos—A Study of Performance Variation and Predictability in Public IaaS Clouds,"P. Leitner, Jürgen Cito",ACM Trans. Internet Techn.,2014,"Benchmarking the performance of public cloud providers is a common research topic. Previous work has already extensively evaluated the performance of different cloud platforms for different use cases, and under different constraints and experiment setups. In this article, we present a principled, large-scale literature review to collect and codify existing research regarding the predictability of performance in public Infrastructure-as-a-Service (IaaS) clouds. We formulate 15 hypotheses relating to the nature of performance variations in IaaS systems, to the factors of influence of performance variations, and how to compare different instance types. In a second step, we conduct extensive real-life experimentation on four cloud providers to empirically validate those hypotheses. We show that there are substantial differences between providers. Hardware heterogeneity is today less prevalent than reported in earlier research, while multitenancy has a dramatic impact on performance and predictability, but only for some cloud providers. We were unable to discover a clear impact of the time of the day or the day of the week on cloud performance.",280467191,274,81,,
10.1201/9781420049671.ch26,Binary Decision Diagrams,"Saburo  Muroga, Shin-ichi  Minato",The VLSI Handbook,1999,(missing abstract),261182251,919,22,,
10.1002/spe.652,A taxonomy of variability realization techniques,"Mikael Svahnberg, J. V. Gurp, J. Bosch","Software, Practice & Experience",2005,"Development of software product families relies heavily on the use of variability to manage the differences between products by delaying design decisions to later stages of the development and usage of the constructed software systems. Implementation of variability is not a trivial task, and is governed by a number of factors. In this paper, we describe the factors that are relevant in determining how to implement variability, and present a taxonomy of variability realization techniques. Copyright © 2005 John Wiley & Sons, Ltd.",165585411,573,73,,
10.1145/3106237.3106273,Finding near-optimal configurations in product lines by random sampling,"Jeho Oh, D. Batory, Margaret Myers, Norbert Siegmund",ESEC/SIGSOFT FSE,2017,"Software Product Lines (SPLs) are highly configurable systems. This raises the challenge to find optimal performing configurations for an anticipated workload. As SPL configuration spaces are huge, it is infeasible to benchmark all configurations to find an optimal one. Prior work focused on building performance models to predict and optimize SPL configurations. Instead, we randomly sample and recursively search a configuration space directly to find near-optimal configurations without constructing a prediction model. Our algorithms are simpler and have higher accuracy and efficiency.",146844179,205,46,,
10.1109/icstw.2015.7107435,A first systematic mapping study on combinatorial interaction testing for software product lines,"R. Lopez-Herrejon, Stefan Fischer, R. Ramler, Alexander Egyed","2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",2015,"Software Product Lines (SPLs) are families of related software systems distinguished by the set of features each one provides. Over the past decades SPLs have been the subject of extensive research and application both in academia and industry. SPLs practices have proven benefits such as better product customization and reduced time to market. Testing SPLs pose additional challenges stemming from the typically large number of product variants which make it infeasible to test every single one of them. In recent years, there has been an extensive research on applying Combinatorial Interaction Testing (CIT) for SPL testing. In this paper we present the first systematic mapping study on this subject. Our research questions aim to gather information regarding the techniques that have been applied, the nature of the case studies used for their evaluation, and what phases of CIT have been addressed. Our goal is to identify common trends, gaps, and opportunities for further research and application.",196490613,86,89,,
10.1109/citsm.2017.8089264,Combining integreted sampling technique with feature selection for software defect prediction,"Sukmawati Angreani Putri, Frieyadie",2017 5th International Conference on Cyber and IT Service Management (CITSM),2017,"Good quality software is a supporting factor that is important in any line of work in of society. But the software component defective or damaged resulting in reduced performance of the work, and can increase the cost of development and maintenance. An accurate prediction on software module prone defects as part of efforts to reduce the increasing cost of development and maintenance of software. An accurate prediction on software module prone defects as part of efforts to reduce the increasing cost of development and maintenance of software. From the results of these studies are known, there are two problems that can decrease performance prediction of classifiers such imbalances in the distribution of the class and irrelevant of the attributes that exist in the dataset. So as to handle both of these issues, we conducted this research using integrated a sample technique with feature selection method. Based on research done previously, there are two methods of samples including random under sampling and SMOTE for random over sampling. While on feature selection method such as chi square, information gain and relief methods. After doing the research process, integration SMOTE technique with relief method used on Naïve Bayes classifiers, the result of the predicted value better than any other method that is 82%.",117062440,18,28,,
10.1145/3233027.3233035,A classification of product sampling for software product lines,"M. Varshosaz, Mustafa Al-Hajjaji, Thomas Thüm, Tobias Runge, M. Mousavi, Ina Schaefer",Software Product Lines Conference,2018,"The analysis of software product lines is challenging due to the potentially large number of products, which grow exponentially in terms of the number of features. Product sampling is a technique used to avoid exhaustive testing, which is often infeasible. In this paper, we propose a classification for product sampling techniques and classify the existing literature accordingly. We distinguish the important characteristics of such approaches based on the information used for sampling, the kind of algorithm, and the achieved coverage criteria. Furthermore, we give an overview on existing tools and evaluations of product sampling techniques. We share our insights on the state-of-the-art of product sampling and discuss potential future work.",103894428,95,87,,
(missing DOI),Ieee Transactions on Software Engineering Skoll: a Process and Infrastructure for Distributed Continuous Quality Assurance,"A. Porter, Cemal Yilmaz, A. Memon, D. Schmidt, B. Natarajan",(missing journal),2006,"Software engineers increasingly emphasize agility and flexibility in their designs and development approaches. They increasingly use distributed development teams, rely on component assembly and deployment rather than green field code writing, rapidly evolve the system through incremental development and frequent updating, and use flexible product designs supporting extensive end-user customization. While agility and flexibility have many benefits, they also create an enormous number of potential system configurations built from rapidly changing component implementations. Since today's quality assurance (QA) techniques do not scale to handle highly configurable systems, we are developing and validating novel software QA processes and tools that leverage the extensive computing resources of user and developer communities in a distributed, continuous manner to improve software quality significantly. This paper provides several contributions to the study of distributed, continuous QA (DCQA). First, it shows the structure and functionality of Skoll, which is an environment that defines a generic around-the-world, around-the-clock QA process and several sophisticated tools that support this process. Second, it describes several novel QA processes built using the Skoll environment. Third, it presents two studies using Skoll: one involving user testing of the Mozilla browser and another involving continuous build, integration, and testing of the ACE+TAO communication software package. The results of our studies suggest that the Skoll environment can manage and control distributed continuous QA processes more effectively than conventional QA processes. For example, our DCQA processes rapidly identified problems that had taken the ACE+TAO developers much longer to find and several of which they had not found. Moreover, the automatic analysis of QA results provided developers information that enabled them to quickly find the root causes of problems",271681809,49,43,,
10.1016/s0898-1221(00)90203-7,Experimentation in software engineering: an introduction,"C. Wohlin, P. Runeson, Martin Höst, Magnus C. Ohlsson, B. Regnell, Anders Wesslén",(missing journal),2000,(missing abstract),276474133,3481,0,,
10.1145/3168365.3168372,VaryLATEX: Learning Paper Variants That Meet Constraints,"M. Acher, Paul Temple, J. Jézéquel, J. Galindo, Jabier Martinez, Tewfik Ziadi",International Workshop on Variability Modelling of Software-Intensive Systems,2018,"How to submit a research paper, a technical report, a grant proposal, or a curriculum vitae that respect imposed constraints such as formatting instructions and page limits? It is a challenging task, especially when coping with time pressure. In this work, we present VaryLATEX, a solution based on variability, constraint programming, and machine learning techniques for documents written in LATEX to meet constraints and deliver on time. Users simply have to annotate LATEX source files with variability information, e.g., (de)activating portions of text, tuning figures' sizes, or tweaking line spacing. Then, a fully automated procedure learns constraints among Boolean and numerical values for avoiding non-acceptable paper variants, and finally, users can further configure their papers (e.g., aesthetic considerations) or pick a (random) paper variant that meets constraints, e.g., page limits. We describe our implementation and report the results of two experiences with VaryLATEX.",7796331,25,22,,
10.1109/apsec.2010.26,Approaching Non-functional Properties of Software Product Lines: Learning from Products,"Julio Sincero, W. Schröder-Preikschat, O. Spinczyk",Asia-Pacific Software Engineering Conference,2010,"Approaching the configuration of non-functional properties (NFPs) in traditional software systems is not an easy task, addressing the configuration of these properties in software product lines (SPLs) imposes even further challenges. Therefore, we have devised the Feedback Approach, which extends the traditional SPL development techniques in order to improve the configuration of NFPs. In this work we present the general guidelines of our approach and also we show the feasibility of the idea by presenting a case study using the Linux Kernel.",72152766,59,39,,
10.1109/noms.2016.7502858,Daleel: Simplifying cloud instance selection using machine learning,"Faiza Samreen, Yehia Elkhatib, Matthew Rowe, Gordon S. Blair",(missing journal),2016,"Decision making in cloud environments is quite challenging due to the diversity in service offerings and pricing models, especially considering that the cloud market is an incredibly fast moving one. In addition, there are no hard and fast rules; each customer has a specific set of constraints (e.g. budget) and application requirements (e.g. minimum computational resources). Machine learning can help address some of the complicated decisions by carrying out customer-specific analytics to determine the most suitable instance type(s) and the most opportune time for starting or migrating instances. We employ machine learning techniques to develop an adaptive deployment policy, providing an optimal match between the customer demands and the available cloud service offerings. We provide an experimental study based on extensive set of job executions over a major public cloud infrastructure.",216327262,66,38,,
10.1109/icse-nier.2019.00028,PLUS: Performance Learning for Uncertainty of Software,"Catia Trubiani, S. Apel",2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),2019,"Uncertainty is particularly critical in software performance engineering when it relates to the values of important parameters such as workload, operational profile, and resource demand, because such parameters inevitably affect the overall system performance. Prior work focused on monitoring the performance characteristics of software systems while considering influence of configuration options. The problem of incorporating uncertainty as a first-class concept in the software development process to identify performance issues is still challenging. The PLUS (Performance Learning for Uncertainty of Software) approach aims at addressing these limitations by investigating the specification of a new class of performance models capturing how the different uncertainties underlying a software system affect its performance characteristics. The main goal of PLUS is to answer a fundamental question in the software performance engineering domain: How to model the variable configuration options (i.e., software and hardware resources) and their intrinsic uncertainties (e.g., resource demand, processor speed) to represent the performance characteristics of software systems? This way, software engineers are exposed to a quantitative evaluation of their systems that supports them in the task of identifying performance critical configurations along with their uncertainties.",63415148,10,27,,
10.1145/2884781.2884793,A comparison of 10 sampling algorithms for configurable systems,"Flávio Medeiros, Christian Kästner, Márcio Ribeiro, Rohit Gheyi, Sven Apel",(missing journal),2016,"Almost every software system provides configuration options to tailor the system to the target platform and application scenario. Often, this configurability renders the analysis of every individual system configuration infeasible. To address this problem, researchers have proposed a diverse set of sampling algorithms. We present a comparative study of 10 state-of-the-art sampling algorithms regarding their fault-detection capability and size of sample sets. The former is important to improve software quality and the latter to reduce the time of analysis. In a nutshell, we found that sampling algorithms with larger sample sets are able to detect higher numbers of faults, but simple algorithms with small sample sets, such as most-enabled-disabled, are the most efficient in most contexts. Furthermore, we observed that the limiting assumptions made in previous work influence the number of detected faults, the size of sample sets, and the ranking of algorithms. Finally, we have identified a number of technical challenges when trying to avoid the limiting assumptions, which questions the practicality of certain sampling algorithms.",63353234,265,64,,
10.1145/2601248.2601268,Guidelines for snowballing in systematic literature studies and a replication in software engineering,C. Wohlin,International Conference on Evaluation & Assessment in Software Engineering,2014,"Background: Systematic literature studies have become common in software engineering, and hence it is important to understand how to conduct them efficiently and reliably.
 Objective: This paper presents guidelines for conducting literature reviews using a snowballing approach, and they are illustrated and evaluated by replicating a published systematic literature review.
 Method: The guidelines are based on the experience from conducting several systematic literature reviews and experimenting with different approaches.
 Results: The guidelines for using snowballing as a way to search for relevant literature was successfully applied to a systematic literature review.
 Conclusions: It is concluded that using snowballing, as a first search strategy, may very well be a good alternative to the use of database searches.",186699819,4674,34,,
10.1109/ms.2015.149,Is It Worth Responding to Reviews? Studying the Top Free Apps in Google Play,"Stuart McIlroy, Weiyi Shang, Nasir Ali, A. Hassan",IEEE Software,2017,"Up to this point, researchers have not explored the value of responding to user reviews of mobile apps. An analysis of reviews and responses for 10,713 of the top apps in Google Play showed that few developers responded to reviews. However, responding can have positive effects. Users changed their ratings 38.7 percent of the time following a response, with a median rating increase of 20 percent.",99157481,51,24,,
10.1109/tse.2006.8,Covering arrays for efficient fault characterization in complex configuration spaces,"Cemal Yilmaz, Myra B. Cohen, Adam Porter",IEEE Transactions on Software Engineering,2006,"Many modern software systems are designed to be highly configurable so they can run on and be optimized for a wide variety of platforms and usage scenarios. Testing such systems is difficult because, in effect, you are testing a multitude of systems, not just one. Moreover, bugs can and do appear in some configurations, but not in others. Our research focuses on a subset of these bugs that are option-related-those that manifest with high probability only when specific configuration options take on specific settings. Our goal is not only to detect these bugs, but also to automatically characterize the configuration subspaces (i.e., the options and their settings) in which they manifest. To improve efficiency, our process tests only a sample of the configuration space, which we obtain from mathematical objects called covering arrays. This paper compares two different kinds of covering arrays for this purpose and assesses the effect of sampling strategy on fault characterization accuracy. Our results strongly suggest that sampling via covering arrays allows us to characterize option-related failures nearly as well as if we had tested exhaustively, but at a much lower cost. We also provide guidelines for using our approach in practice.",92910926,387,27,,
10.1145/2491627.2491647,Visualization and exploration of optimal variants in product line engineering,"Alexandr Murashkin, M. Antkiewicz, Derek Rayside, K. Czarnecki",SPLC '13,2013,"The decision-making process in Product Line Engineering (PLE) is often concerned with variant qualities such as cost, battery life, or security. Pareto-optimal variants, with respect to a set of objectives such as minimizing a variant's cost while maximizing battery life and security, are variants in which no single quality can be improved without sacrificing other qualities. We propose a novel method and a tool for visualization and exploration of a multi-dimensional space of optimal variants (i.e., a Pareto front). The visualization method is an integrated, interactive, and synchronized set of complementary views onto a Pareto front specifically designed to support PLE scenarios, including: understanding differences among variants and their positioning with respect to quality dimensions; solving trade-offs; selecting the most desirable variants; and understanding the impact of changes during product line evolution on a variant's qualities. We present an initial experimental evaluation showing that the visualization method is a good basis for supporting these PLE scenarios.",76085303,90,16,,
10.1007/s10270-014-0441-1,Clafer: unifying class and feature modeling,"K. Bak, Z. Diskin, M. Antkiewicz, K. Czarnecki, A. Wąsowski",Journal of Software and Systems Modeling,2014,(missing abstract),276029845,128,61,,
10.1145/2791060.2791069,Empirical comparison of regression methods for variability-aware performance prediction,"P. Valov, Jianmei Guo, K. Czarnecki",SPLC,2015,"Product line engineering derives product variants by selecting features. Understanding the correlation between feature selection and performance is important for stakeholders to acquire a desirable product variant. We infer such a correlation using four regression methods based on small samples of measured configurations, without additional effort to detect feature interactions. We conduct experiments on six real-world case studies to evaluate the prediction accuracy of the regression methods. A key finding in our empirical study is that one regression method, called Bagging, is identified as the best to make accurate and robust predictions for the studied systems.",12703909,56,35,,
