Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Dynamic Software Product Lines","-","Svein Hallsteinsen; Mike Hinchey; Sooyong Park; Klaus Schmid","2008","Computer","10.1109/mc.2008.123","370","-","https://doi.org/10.1109/mc.2008.123","","-","-","Include"
"Models@ Run.time to Support Dynamic Adaptation","-","Brice Morin; Olivier Barais; Jean‐Marc Jezéquél; Franck Fleurey; Arnor Solberg","2009","Computer","10.1109/mc.2009.327","332","-","https://doi.org/10.1109/mc.2009.327","","-","-","Include"
"Covering arrays for efficient fault characterization in complex configuration spaces","-","Cemal Yılmaz; Myra B. Cohen; A. Porter","2006","IEEE Transactions on Software Engineering","10.1109/tse.2006.8","268","-","https://doi.org/10.1109/tse.2006.8","","-","-","Include"
"Performance-influence models for highly configurable systems","-","Norbert Siegmund; Alexander Grebhahn; Sven Apel; Christian Kästner","2015","Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering","10.1145/2786805.2786845","256","-","https://doi.org/10.1145/2786805.2786845","","-","284-294","Include"
"Variability-aware performance prediction: A statistical learning approach","-","Jianmei Guo; Krzysztof Czarnecki; Sven Apel; Norbert Siegmund; Andrzej Wąsowski","2013","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","10.1109/ase.2013.6693089","216","-","https://doi.org/10.1109/ase.2013.6693089","","-","301-311","Include"
"Patterns in the Chaos—A Study of Performance Variation and Predictability in Public IaaS Clouds","-","Philipp Leitner; Jürgen Cito","2016","ACM Transactions on Internet Technology","10.1145/2885497","208","-","https://doi.org/10.1145/2885497","","-","-","Include"
"SPL Conqueror: Toward optimization of non-functional properties in software product lines","-","Norbert Siegmund; Marko Rosenmüller; Martin Kuhlemann; Christian Kästner; Sven Apel; Gunter Saake","2011","Software Quality Journal","10.1007/s11219-011-9152-9","206","-","https://doi.org/10.1007/s11219-011-9152-9","","-","-","Include"
"A genetic algorithm for optimized feature selection with resource constraints in software product lines","-","Jianmei Guo; Jules White; Guangxin Wang; Jian Li; Yinglin Wang","2011","Journal of Systems and Software","10.1016/j.jss.2011.06.026","193","-","https://doi.org/10.1016/j.jss.2011.06.026","","-","-","Include"
"FAMILIAR: A domain-specific language for large scale management of feature models","-","Mathieu Acher; Philippe Collet; Philippe Lahire; Robert B. France","2012","Science of Computer Programming","10.1016/j.scico.2012.12.004","191","-","https://doi.org/10.1016/j.scico.2012.12.004","","-","-","Include"
"Hey, you have given me too many knobs!: understanding and dealing with over-designed configuration in system software","-","Tianyin Xu; Long Jin; Xuepeng Fan; Yuanyuan Zhou; Shankar Pasupathy; Rukma Talwadker","2015","Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering","10.1145/2786805.2786852","166","-","https://doi.org/10.1145/2786805.2786852","","-","307-319","Include"
"On strategies for testing software product lines: A systematic literature review","-","Ivan Machado; John D. McGregor; Yguaratã Cerqueira Cavalcanti; Eduardo Santana de Almeida","2014","Information and Software Technology","10.1016/j.infsof.2014.04.002","149","-","https://doi.org/10.1016/j.infsof.2014.04.002","","-","-","Include"
"Search based software engineering for software product line engineering","-","Mark Harman; Yunyi Jia; Jens Krinke; William B. Langdon; Justyna Petke; Yujie Zhang","2014","Proceedings of the 18th International Software Product Line Conference - Volume 1","10.1145/2648511.2648513","131","-","https://doi.org/10.1145/2648511.2648513","","-","5-18","Include"
"The WEKA data mining software","-","Mark Hall; Eibe Frank; Geoffrey Holmes; Bernhard Pfahringer; Peter Reutemann; Ian H. Witten","2009","ACM SIGKDD Explorations Newsletter","10.1145/1656274.1656278","17828","-","https://doi.org/10.1145/1656274.1656278","","-","-","Include"
"Automated analysis of feature models 20 years later: A literature review","-","David Benavides; Sergio Segura; Antonio Ruiz–Cortés","2010","Information Systems","10.1016/j.is.2010.01.001","1168","-","https://doi.org/10.1016/j.is.2010.01.001","","-","-","Include"
"SATzilla: Portfolio-based Algorithm Selection for SAT","-","Lizhong Xu; Frank Hutter; Holger H. Hoos; Kevin Leyton‐Brown","2008","Journal of Artificial Intelligence Research","10.1613/jair.2490","827","-","https://doi.org/10.1613/jair.2490","","-","-","Include"
"Automatic Database Management System Tuning Through Large-scale Machine Learning","-","Dana Van Aken; Andrew Pavlo; Geoffrey J. Gordon; Bohan Zhang","2017","Proceedings of the 2017 ACM International Conference on Management of Data","10.1145/3035918.3064029","545","-","https://doi.org/10.1145/3035918.3064029","","-","1009-1024","Include"
"A review and analysis of regression and machine learning models on commercial building electricity load forecasting","-","Baran Yildiz; José I. Bilbao; A.B. Sproul","2017","Renewable and Sustainable Energy Reviews","10.1016/j.rser.2017.02.023","543","-","https://doi.org/10.1016/j.rser.2017.02.023","","-","-","Include"
"A taxonomy of variability realization techniques","-","Mikael Svahnberg; Jilles van Gurp; Jan Bosch","2005","Software Practice and Experience","10.1002/spe.652","417","-","https://doi.org/10.1002/spe.652","","-","-","Include"
"Feature-Oriented Software Product Lines: Concepts and Implementation","-","Sven Apel; Don Batory; Christian Kstner; Gunter Saake","2013","-","10.1007/978-3-642-37521-7","398","-","https://doi.org/10.1007/978-3-642-37521-7","","en","-","Include"
"Cherrypick: adaptively unearthing the best cloud configurations for big data analytics","-","Omid Alipourfard; Hongqiang Harry Liu; Jianshu Chen; Shivaram Venkataraman; Minlan Yu; Ming Zhang","2017","Networked Systems Design and Implementation","10.1007/978-3-031-55639-5_4","334","-","https://doi.org/10.1007/978-3-031-55639-5_4","","en","43-77","Include"
"Machine Learning in Genomic Medicine: A Review of Computational Problems and Data Sets","-","Michael K. K. Leung; Andrew Delong; Babak Alipanahi; Brendan J. Frey","2015","Proceedings of the IEEE","10.1109/jproc.2015.2494198","282","-","https://doi.org/10.1109/jproc.2015.2494198","","-","-","Include"
"Foundations of Software Testing","<jats:p>Testing is potentially the best grounded part of software engineering, since it deals with the well defined situation of a fixed program and a test (a finite collection of input values). However, the fundamental theory of program testing is in disarray. Part of the reason is a confusion of the goals of testing---what makes a test (or testing method) ""good."" I argue that testing's primary goal should be to measure the dependability of tested software. In support of this goal, a plausible theory of dependability is needed to suggest and prove results about what test methods should be used, and under what circumstances. Although the outlines of dependability theory are not yet clear, it is possible to identify some of the fundamental questions and problems that must be attacked, and to suggest promising approaches and research methods. Perhaps the hardest step in this research is admitting that we do not already have the answers.</jats:p>","Aditya P. Mathur","2007","ACM SIGSOFT Software Engineering Notes","10.1145/195274.195400","230","-","https://doi.org/10.1145/195274.195400","","en","128-139","Include"
"SD-VBS: The San Diego Vision Benchmark Suite","-","Sravanthi Kota Venkata; Ikkjin Ahn; Dong‐Hwan Jeon; Anshuman Gupta; Christopher Louie; Saturnino Garcia; Serge Belongie; Michael Taylor","2009","2009 IEEE International Symposium on Workload Characterization (IISWC)","10.1109/iiswc.2009.5306794","208","-","https://doi.org/10.1109/iiswc.2009.5306794","","-","55-64","Include"
"Systematic literature reviews in agile software development: A tertiary study","-","Rashina Hoda; Norsaremah Salleh; John Grundy; Hui Mien Tee","2017","Information and Software Technology","10.1016/j.infsof.2017.01.007","206","-","https://doi.org/10.1016/j.infsof.2017.01.007","","-","-","Include"
"Predicting Performance via Automated Feature-Interaction Detection","-","Norbert Siegmund; Sergiy S. Kolesnikov; Christian Kästner; Sven Apel; Don Batory; Marko Rosenmüller; Gunter Saake","2012","2012 34th International Conference on Software Engineering (ICSE)","10.1109/icse.2012.6227196","165","-","https://doi.org/10.1109/icse.2012.6227196","","-","167-177","Include"
"Cost-Efficient Sampling for Performance Prediction of Configurable Systems (T)","-","Atrisha Sarkar; Jianmei Guo; Norbert Siegmund; Sven Apel; Krzysztof Czarnecki","2015","2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)","10.1109/ase.2015.45","160","-","https://doi.org/10.1109/ase.2015.45","","-","342-352","Include"
"Finding near-optimal configurations in product lines by random sampling","-","Jeho Oh; Don Batory; Margaret Myers; Norbert Siegmund","2017","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","10.1145/3106237.3106273","147","-","https://doi.org/10.1145/3106237.3106273","","-","61-71","Include"
"Efficient compilation techniques for large scale feature models","-","Marcílio Mendonça; Andrzej Wąsowski; Krzysztof Czarnecki; Donald Cowan","2008","Proceedings of the 7th international conference on Generative programming and component engineering","10.1145/1449913.1449918","127","-","https://doi.org/10.1145/1449913.1449918","","-","13-22","Include"
"A review of machine learning for automated planning","-","Sergio Jiménez; Tomás de la Rosa; Susana Fernández; Fernando Fernández; Daniel Borrajo","2012","The Knowledge Engineering Review","10.1017/s026988891200001x","119","-","https://doi.org/10.1017/s026988891200001x","","-","-","Include"
"Using bad learners to find good configurations","-","Vivek Nair; Tim Menzies; Norbert Siegmund; Sven Apel","2017","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","10.1145/3106237.3106238","116","-","https://doi.org/10.1145/3106237.3106238","","-","257-267","Include"
"Autotuning algorithmic choice for input sensitivity","-","Yufei Ding; Jason Ansel; Kalyan Veeramachaneni; Xipeng Shen; Una-May O’Reilly; Saman Amarasinghe","2015","Proceedings of the 36th ACM SIGPLAN Conference on Programming Language Design and Implementation","10.1145/2737924.2737969","91","-","https://doi.org/10.1145/2737924.2737969","","-","379-390","Include"
"Transfer Learning for Improving Model Predictions in Highly Configurable Software","-","Pooyan Jamshidi; Miguel Velez; Christian Kästner; Norbert Siegmund; Prasad Kawthekar","2017","2017 IEEE/ACM 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","10.1109/seams.2017.11","86","-","https://doi.org/10.1109/seams.2017.11","","-","31-41","Include"
"Attributed variability models: outside the comfort zone","-","Norbert Siegmund; Stefan Sobernig; Sven Apel","2017","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","10.1145/3106237.3106251","62","-","https://doi.org/10.1145/3106237.3106251","","-","268-278","Include"
"Daleel: Simplifying cloud instance selection using machine learning","-","Faiza Samreen; Yehia Elkhatib; Matthew Rowe; Gordon S. Blair","2016","NOMS 2016 - 2016 IEEE/IFIP Network Operations and Management Symposium","10.1109/noms.2016.7502858","49","-","https://doi.org/10.1109/noms.2016.7502858","","-","557-563","Include"
"A systematic review of domain analysis tools","-","Liana Barachisio Lisboa; Vinícius Cardoso Garcia; Daniel Lucrédio; Eduardo Santana de Almeida; Sílvio Romero de Lemos Meira; Renata Pontin de Mattos Fortes","2009","Information and Software Technology","10.1016/j.infsof.2009.05.001","96","-","https://doi.org/10.1016/j.infsof.2009.05.001","","-","-","Include"
"A bibliometric analysis of 20 years of research on software product lines","-","Rubén Heradio; Hector Perez-Morago; David Fernández-Amorós; Francisco Javier Cabrerizo; Enrique Herrera‐Viedma","2015","Information and Software Technology","10.1016/j.infsof.2015.11.004","89","-","https://doi.org/10.1016/j.infsof.2015.11.004","","-","-","Include"
"ACM Symposium on Applied Computing, (SAC'00)","-","Sebastian Danicic; Mark Harman","2000","-","10.1145/315891","76","-","https://doi.org/10.1145/315891","","-","-","Include"
"Proceedings of the 2013 International Conference on Software Engineering","-","David Notkin; Betty H. C. Cheng; Klaus Pohl","2013","International Conference on Software Engineering","10.1108/k.2006.06735aac.002","876","-","https://doi.org/10.1108/k.2006.06735aac.002","","en","-","Include"
"Experimentation in software engineering: An introduction","-","-","2000","Computers & Mathematics with Applications","10.1016/s0898-1221(00)90203-7","701","-","https://doi.org/10.1016/s0898-1221(00)90203-7","","en","418","Include"
"Interpretable Machine Learning","-","Christoph Molnar","2020","Hands-On Machine Learning with R","10.1201/9780367816377-16","517","-","https://doi.org/10.1201/9780367816377-16","","en","305-342","Include"
"Proceedings of 1993 15th International Conference on Software Engineering","-","-","1993","Proceedings of 1993 15th International Conference on Software Engineering","10.1109/icse.1993.346061","240","-","https://doi.org/10.1109/icse.1993.346061","","-","0_1","Include"
"Predicting performance via automated feature-interaction detection","-","Norbert Siegmund; Sergiy Kolesnikov; Christian Kästner; Sven Apel; Don Batory; Marko Rosenmüller; Gunter Saake","2012","2012 34th International Conference on Software Engineering (ICSE)","10.1109/icse.2012.6227196","168","-","https://doi.org/10.1109/icse.2012.6227196","","-","167-177","Include"
"Data-efficient performance learning for configurable systems","-","Jianmei Guo; Dingyu Yang; Norbert Siegmund; Sven Apel; Atrisha Sarkar; Pavel Valov; Krzysztof Czarnecki; Andrzej Wąsowski; Huiqun Yu","2017","Empirical Software Engineering","10.1007/s10664-017-9573-6","133","-","https://doi.org/10.1007/s10664-017-9573-6","","-","-","Include"
"Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack","-","Axel Halin; Alexandre Nuttinck; Mathieu Acher; Xavier Devroey; Gilles Perrouin; Benoît Baudry","2018","Empirical Software Engineering","10.1007/s10664-018-9635-4","113","-","https://doi.org/10.1007/s10664-018-9635-4","","-","-","Include"
"Distance-Based Sampling of Software Configuration Spaces","-","Christian Kaltenecker; Alexander Grebhahn; Norbert Siegmund; Jianmei Guo; Sven Apel","2019","2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)","10.1109/icse.2019.00112","113","-","https://doi.org/10.1109/icse.2019.00112","","-","1084-1094","Include"
"Tradeoffs in modeling performance of highly configurable software systems","-","Sergiy Kolesnikov; Norbert Siegmund; Christian Kästner; Alexander Grebhahn; Sven Apel","2018","Software & Systems Modeling","10.1007/s10270-018-0662-9","82","-","https://doi.org/10.1007/s10270-018-0662-9","","-","-","Include"
"Sampling Effect on Performance Prediction of Configurable Systems","-","Juliana Alves Pereira; Mathieu Acher; Hugo Martin; Jean‐Marc Jezéquél","2020","Proceedings of the ACM/SPEC International Conference on Performance Engineering","10.1145/3358960.3379137","75","-","https://doi.org/10.1145/3358960.3379137","","-","277-288","Include"
"A classification of product sampling for software product lines","-","Mahsa Varshosaz; Mustafa Al‐Hajjaji; Thomas Thüm; Tobias Runge; Mohammad Reza Mousavi; Ina Schaefer","2018","Proceedings of the 22nd International Systems and Software Product Line Conference - Volume 1","10.1145/3233027.3233035","80","-","https://doi.org/10.1145/3233027.3233035","","-","1-13","Include"
"Learning to sample: exploiting similarities across environments to learn performance models for configurable systems","-","Pooyan Jamshidi; Miguel Velez; Christian Kästner; Norbert Siegmund","2018","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","10.1145/3236024.3236074","68","-","https://doi.org/10.1145/3236024.3236074","","-","71-82","Include"
"Uniform Sampling of SAT Solutions for Configurable Systems: Are We There Yet?","-","Quentin Plazar; Mathieu Acher; Gilles Perrouin; Xavier Devroey; Maxime Cordy","2019","2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)","10.1109/icst.2019.00032","68","-","https://doi.org/10.1109/icst.2019.00032","","-","240-251","Include"
"Software Configuration Engineering in Practice Interviews, Survey, and Systematic Literature Review","-","Mohammed Sayagh; Noureddine Kerzazi; Bram Adams; Fábio Petrillo","2018","IEEE Transactions on Software Engineering","10.1109/tse.2018.2867847","58","-","https://doi.org/10.1109/tse.2018.2867847","","-","-","Include"
"Faster discovery of faster system configurations with spectral learning","-","Vivek Nair; Tim Menzies; Norbert Siegmund; Sven Apel","2017","Automated Software Engineering","10.1007/s10515-017-0225-2","52","-","https://doi.org/10.1007/s10515-017-0225-2","","-","-","Include"
"Automatic configuration of internet services","-","Wei Zheng; Ricardo Bianchini; Thu D. Nguyen","2007","ACM SIGOPS Operating Systems Review","10.1145/1272998.1273020","48","-","https://doi.org/10.1145/1272998.1273020","","-","-","Include"
"Personalized recommender systems for product-line configuration processes","-","Juliana Alves Pereira; Paweł J. Matuszyk; Sebastian Krieter; Myra Spiliopoulou; Gunter Saake","2018","Computer Languages Systems & Structures","10.1016/j.cl.2018.01.003","45","-","https://doi.org/10.1016/j.cl.2018.01.003","","-","-","Include"
"AutoConfig: automatic configuration tuning for distributed message systems","-","Liang Bao; Xin Liu; Ziheng Xu; Baoyin Fang","2018","Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering","10.1145/3238147.3238175","38","-","https://doi.org/10.1145/3238147.3238175","","-","29-40","Include"
"Navigating the maze: the impact of configurability in bioinformatics software","-","Mikaela Cashman; Myra B. Cohen; Priya Ranjan; Robert W. Cottingham","2018","Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering","10.1145/3238147.3240466","32","-","https://doi.org/10.1145/3238147.3240466","","-","757-767","Include"
"Optimal reconfiguration of dynamic software product lines based on performance-influence models","-","Markus Weckesser; Roland Kluge; Martin Pfannemüller; Michael Matthé; Andy Schürr; Christian Becker","2018","Proceedings of the 22nd International Systems and Software Product Line Conference - Volume 1","10.1145/3233027.3233030","29","-","https://doi.org/10.1145/3233027.3233030","","-","98-109","Include"
"Learning Contextual-Variability Models","-","Paul Temple; Mathieu Acher; Jean‐Marc Jezéquél; Olivier Barais","2017","IEEE Software","10.1109/ms.2017.4121211","28","-","https://doi.org/10.1109/ms.2017.4121211","","-","-","Include"
"The next 700 CPU power models","-","Maxime Colmant; Romain Rouvoy; Mascha Kurpicz-Briki; Anita Sobe; Pascal Felber; Lionel Seinturier","2018","Journal of Systems and Software","10.1016/j.jss.2018.07.001","26","-","https://doi.org/10.1016/j.jss.2018.07.001","","-","-","Include"
"A systematic literature review on the semi-automatic configuration of extended product lines","-","Lina Ochoa; Oscar González-Rojas; Alves Pereira Juliana; Harold Castro; Gunter Saake","2018","Journal of Systems and Software","10.1016/j.jss.2018.07.054","26","-","https://doi.org/10.1016/j.jss.2018.07.054","","-","-","Include"
"Learning software configuration spaces: A systematic literature review","-","Juliana Alves Pereira; Mathieu Acher; Hugo Martin; Jean‐Marc Jezéquél; Goetz Botterweck; Anthony Ventresque","2021","Journal of Systems and Software","10.1016/j.jss.2021.111044","20","-","https://doi.org/10.1016/j.jss.2021.111044","","-","-","Include"
"Interpretable machine learning","<jats:p>Machine learning (ML, a type of artificial intelligence) is increasingly being used to support decision making in a variety of applications including recruitment and clinical diagnoses. While ML has many advantages, there are concerns that in some cases it may not be possible to explain completely how its outputs have been produced. This POSTnote gives an overview of ML and its role in decision-making. It examines the challenges of understanding how a complex ML system has reached its output, and some of the technical approaches to making ML easier to interpret. It also gives a brief overview of some of the proposed tools for making ML systems more accountable.</jats:p>","Parliamentary Office of Science and Technology; Lorna Christie","2020","-","10.58248/pn633","985","-","https://doi.org/10.58248/pn633","","-","-","Include"
"Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","-","-","2019","-","10.1145/3338906","338","-","https://doi.org/10.1145/3338906","","-","-","Include"
"Proceedings of the Genetic and Evolutionary Computation Conference","-","-","2017","-","10.1145/3071178","246","-","https://doi.org/10.1145/3071178","","-","-","Include"
"Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering","-","-","2014","-","10.1145/2601248","243","-","https://doi.org/10.1145/2601248","","-","-","Include"
"NOMS 2016 - 2016 IEEE/IFIP Network Operations and Management Symposium","-","-","2016","-","10.1109/noms37277.2016","114","-","https://doi.org/10.1109/noms37277.2016","","-","-","Include"
"2008 15th Asia-Pacific Software Engineering Conference","-","-","2008","-","10.1109/apsec14893.2008","79","-","https://doi.org/10.1109/apsec14893.2008","","-","-","Include"
"Proceedings of the 17th International Software Product Line Conference","-","-","2013","-","10.1145/2491627","54","-","https://doi.org/10.1145/2491627","","-","-","Include"
"2017 5th International Conference on Cyber and IT Service Management (CITSM)","-","-","2017","-","10.1109/citsm41401.2017","49","-","https://doi.org/10.1109/citsm41401.2017","","-","-","Include"
"Proceedings of the 12th International Workshop on Variability Modelling of Software-Intensive Systems","-","-","2018","-","10.1145/3168365","34","-","https://doi.org/10.1145/3168365","","-","-","Include"
"IEEE International Symposium on Workload Characterization (IISWC'10)","-","-","2010","-","10.1109/iiswc18148.2010","30","-","https://doi.org/10.1109/iiswc18148.2010","","-","-","Include"
"2017 3rd International Conference of Cloud Computing Technologies and Applications (CloudTech)","-","-","2017","-","10.1109/cloudtech41777.2017","28","-","https://doi.org/10.1109/cloudtech41777.2017","","-","-","Include"
"2017 IEEE/ACM 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","-","-","2017","-","10.1109/seams41706.2017","15","-","https://doi.org/10.1109/seams41706.2017","","-","-","Include"
"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","-","-","2017","-","10.1109/icstw41253.2017","12","-","https://doi.org/10.1109/icstw41253.2017","","-","-","Include"
"2016 IEEE 24th International Symposium on Modeling, Analysis and Simulation of Computer and Telecommunication Systems (MASCOTS)","-","-","2016","-","10.1109/mascots38544.2016","10","-","https://doi.org/10.1109/mascots38544.2016","","-","-","Include"
"Proceedings of the 16th International Software Product Line Conference - Volume 1","-","-","2012","-","10.1145/2362536","8","-","https://doi.org/10.1145/2362536","","-","-","Include"
"Predicting Performance of Software Configurations: There is no Silver\n Bullet","-","Alexander Grebhahn; Norbert Siegmund; Sven Apel","2019","arXiv (Cornell University)","10.48550/arxiv.1911.12643","7","-","https://doi.org/10.48550/arxiv.1911.12643","","-","-","Include"
"Sampling Effect on Performance Prediction of Configurable Systems: A Case Study","-","Juliana Alves Pereira; Mathieu Acher; Hugo Martin; Jean‐Marc Jezéquél","2019","INRIA a CCSD electronic archive server","10.1145/3358960.3379137","6","-","https://doi.org/10.1145/3358960.3379137","","-","277-288","Include"
