oci,citing,cited,creation,timespan,journal_sc,author_sc
06180557553-062201284361,10.1080/0960085x.2022.2039564,10.2307/41409967,2022-03-10,P11Y,no,no
06304808198-062201284361,10.1002/isd2.12341,10.2307/41409967,2024-06-30,P13Y,no,no
062604354071-062201284361,10.1002/jtr.2779,10.2307/41409967,2024-09,P13Y,no,no
06704819458-062201284361,10.14790/ijams.16.1,10.2307/41409967,2024-07-08,P13Y,no,no
06210783953-062201284361,10.4018/joeuc.2018040105,10.2307/41409967,2018-04,P7Y,no,no
0652045881-062201284361,10.1108/itp-12-2018-0560,10.2307/41409967,2020-04-27,P9Y,no,no
061504319388-062201284361,10.1007/s10257-024-00679-x,10.2307/41409967,2024-06-09,P13Y,no,no
061601553742-062201284361,10.1108/jbim-02-2021-0124,10.2307/41409967,2022-03-29,P11Y,no,no
06101329718-062201284361,10.1108/mrr-07-2016-0172,10.2307/41409967,2017-07-17,P6Y,no,no
06330443769-062201284361,10.1007/s10799-024-00431-4,10.2307/41409967,2024-07-11,P13Y,no,no
061504242307-062201284361,10.1108/cr-08-2024-0157,10.2307/41409967,2024-11-12,P13Y,no,no
06304343741-062201284361,10.1016/j.im.2023.103836,10.2307/41409967,2023-11,P12Y,no,no
0606183703-062201284361,10.1108/ecam-03-2024-0373,10.2307/41409967,2025-01-30,P14Y,no,no
0633064333-062201284361,10.1080/17517575.2019.1576228,10.2307/41409967,2019-02-05,P8Y,no,no
061204322420-062201284361,10.1016/j.heliyon.2024.e31579,10.2307/41409967,2024-05,P13Y,no,no
06120459707-062201284361,10.1016/j.im.2021.103434,10.2307/41409967,2021-04,P10Y,no,no
06280183580-062201284361,10.3846/btp.2023.17090,10.2307/41409967,2023-04-27,P12Y,no,no
061901128651-062201284361,10.1016/j.techfore.2021.120892,10.2307/41409967,2021-09,P10Y,no,no
061501017971-062201284361,10.1016/j.jsis.2012.04.003,10.2307/41409967,2012-06,P1Y,no,no
06502219329-062201284361,10.1007/s10799-021-00324-w,10.2307/41409967,2021-03,P10Y,no,no
0605390025-062201284361,10.1111/ijmr.12389,10.2307/41409967,2024-12-05,P13Y,no,no
0680969684-062201284361,10.4018/jgim.2019040105,10.2307/41409967,2019-04,P8Y,no,no
061302166925-062201284361,10.1111/deci.12364,10.2307/41409967,2019-04-05,P8Y,no,no
06120460109-062201284361,10.1016/j.im.2016.07.004,10.2307/41409967,2016-12,P5Y,no,no
06404737182-062201284361,10.1111/radm.12655,10.2307/41409967,2023-11-07,P12Y,no,no
06704704883-062201284361,10.1080/10429247.2024.2422734,10.2307/41409967,2024-11-07,P13Y,no,no
062604265129-062201284361,10.61349/iesbad.1403203,10.2307/41409967,2023-12-29,P12Y,no,no
0606480233-062201284361,10.1109/tem.2024.3487297,10.2307/41409967,2024,P13Y,no,no
06801487005-062201284361,10.1155/2018/6945498,10.2307/41409967,2018-12-13,P7Y,no,no
061103491923-062201284361,10.1007/978-3-030-89822-9_21-1,10.2307/41409967,2022,P11Y,no,no
06704755288-062201284361,10.1007/s11846-024-00745-1,10.2307/41409967,2024-03-09,P13Y,no,no
062301875850-062201284361,10.1016/j.jom.2014.05.001,10.2307/41409967,2014-05-21,P3Y,no,no
061901129539-062201284361,10.1016/j.techfore.2019.119781,10.2307/41409967,2019-12,P8Y,no,no
06201668073-062201284361,10.52547/jstpi.20812.16.62.12,10.2307/41409967,2020-05-25,P9Y,no,no
062203122902-062201284361,10.1108/jic-03-2019-0048,10.2307/41409967,2020-03-12,P9Y,no,no
062302422497-062201284361,10.1007/978-3-319-40564-3_10,10.2307/41409967,2016,P5Y,no,no
06270422149-062201284361,10.1016/j.eap.2024.01.008,10.2307/41409967,2024-03,P13Y,no,no
06704702005-062201284361,10.1109/tem.2023.3279334,10.2307/41409967,2024,P13Y,no,no
062403915616-062201284361,10.1007/s40171-022-00334-9,10.2307/41409967,2023-01-13,P12Y,no,no
061701458514-062201284361,10.2308/acch-52113,10.2307/41409967,2018-04-01,P7Y,no,no
061103562904-062201284361,10.1177/23949643221121857,10.2307/41409967,2022-10-20,P11Y,no,no
06220770406-062201284361,10.1016/j.intman.2020.100740,10.2307/41409967,2021-03,P10Y,no,no
061801118037-062201284361,10.1016/j.techfore.2022.121526,10.2307/41409967,2022-04,P11Y,no,no
06404363496-062201284361,10.1016/j.jbusres.2023.113973,10.2307/41409967,2023-09,P12Y,no,no
062101048929-062201284361,10.3390/systems8040044,10.2307/41409967,2020-11-11,P9Y,no,no
06350148509-062201284361,10.1108/md-05-2022-0673,10.2307/41409967,2023-03-15,P12Y,no,no
061704117800-062201284361,10.1016/j.procs.2023.10.010,10.2307/41409967,2023,P12Y,no,no
06802463097-062201284361,10.16972/apjbve.11.3.201606.233,10.2307/41409967,2016-06,P5Y,no,no
062101117472-062201284361,10.1016/j.techfore.2017.04.023,10.2307/41409967,2018-11,P7Y,no,no
061504209029-062201284361,10.7202/1107632ar,10.2307/41409967,2023-11-21,P12Y,no,no
06180557795-062201284361,10.1057/s41303-016-0024-z,10.2307/41409967,2017-01,P6Y,no,no
06140828615-062201284361,10.1080/13662716.2021.1941801,10.2307/41409967,2021-12-15,P10Y,no,no
062603566172-062201284361,10.1177/21582440221091251,10.2307/41409967,2022-04,P11Y,no,no
06201291652-062201284361,10.1108/imds-08-2019-0433,10.2307/41409967,2020-04-09,P9Y,no,no
061603903714-062201284361,10.1111/poms.14008,10.2307/41409967,2023-04-30,P12Y,no,no
062104409433-062201284361,10.1016/j.heliyon.2024.e31756,10.2307/41409967,2024-06,P13Y,no,no
061702079442-062201284361,10.1007/978-3-030-27325-5_20,10.2307/41409967,2019,P8Y,no,no
062401013020-062201284361,10.1287/isre.2022.1105,10.2307/41409967,2022-02-15,P11Y,no,no
06702052642-062201284361,10.1108/978-1-80043-380-920201013,10.2307/41409967,2020-10-05,P9Y,no,no
0605184621-062201284361,10.1108/cms-05-2024-0297,10.2307/41409967,2025-01-10,P14Y,no,no
06360131249-062201284361,10.1007/978-981-99-0741-0_14,10.2307/41409967,2023,P12Y,no,no
06120460142-062201284361,10.1016/j.im.2016.05.004,10.2307/41409967,2017-03,P6Y,no,no
061901013531-062201284361,10.1080/09639284.2018.1471726,10.2307/41409967,2018-05-05,P7Y,no,no
06320562403-062201284361,10.4018/979-8-3693-5375-2.ch011,10.2307/41409967,2024-04-12,P13Y,no,no
06704669502-062201284361,10.1016/j.dib.2024.110409,10.2307/41409967,2024-06,P13Y,no,no
0652045704-062201284361,10.1108/itp-01-2021-0093,10.2307/41409967,2021-11-02,P10Y,no,no
06903567625-062201284361,10.1016/j.procs.2022.09.225,10.2307/41409967,2022,P11Y,no,no
06240648407-062201284361,10.1016/j.jretconser.2016.11.008,10.2307/41409967,2017-03,P6Y,no,no
06404862570-062201284361,10.33225/pec/24.82.616,10.2307/41409967,2024-10-10,P13Y,no,no
06520189182-062201284361,10.1016/j.ijpe.2023.108790,10.2307/41409967,2023-04,P12Y,no,no
0643088696-062201284361,10.4102/sajbm.v54i1.3696,10.2307/41409967,2023-07-27,P12Y,no,no
061101456749-062201284361,10.1177/23197145221107432,10.2307/41409967,2022-06-26,P11Y,no,no
06320101261-062201284361,10.1007/978-3-030-89822-9_20-1,10.2307/41409967,2022-12-06,P11Y,no,no
061201338369-062201284361,10.1109/tem.2021.3110105,10.2307/41409967,2022,P11Y,no,no
06302534735-062201284361,10.1177/21582440211015201,10.2307/41409967,2021-04,P10Y,no,no
06120459573-062201284361,10.1016/j.im.2022.103639,10.2307/41409967,2022-06,P11Y,no,no
06101532152-062201284361,10.1371/journal.pone.0265025,10.2307/41409967,2022-06-09,P11Y,no,no
0607362484-062201284361,10.1063/5.0258176,10.2307/41409967,2025,P14Y,no,no
062504234897-062201284361,10.1007/978-3-031-19884-7_21,10.2307/41409967,2024,P13Y,no,no
06103938307-062201284361,10.1108/imds-03-2022-0167,10.2307/41409967,2022-11-02,P11Y,no,no
061503821920-062201284361,10.2139/ssrn.4521392,10.2307/41409967,2023,P12Y,no,no
06203061276-062201284361,10.1016/j.tourman.2021.104415,10.2307/41409967,2022-02,P11Y,no,no
0605060847-062201284361,10.3390/systems13020075,10.2307/41409967,2025-01-24,P14Y,no,no
06160110944-062201284361,10.1016/j.chb.2014.03.055,10.2307/41409967,2015-01,P4Y,no,no
06703722238-062201284361,10.1177/0022242920952760,10.2307/41409967,2020-09-14,P9Y,no,no
06601846633-062201284361,10.1007/978-3-658-24576-4_26,10.2307/41409967,2019,P8Y,no,no
06290476910-062201284361,10.1108/bij-07-2023-0462,10.2307/41409967,2024-04-01,P13Y,no,no
06310473428-062201284361,10.1108/crr-11-2023-0020,10.2307/41409967,2024-04-08,P13Y,no,no
06501154324-062201284361,10.1080/12460125.2016.1138392,10.2307/41409967,2016-02-21,P5Y,no,no
061401204997-062201284361,10.15446/innovar.v28n69.71699,10.2307/41409967,2018-07-01,P7Y,no,no
0680427795-062201284361,10.1007/s10586-018-2139-6,10.2307/41409967,2018-02-23,P7Y,no,no
061903934059-062201284361,10.1111/radm.12596,10.2307/41409967,2023-04-03,P12Y,no,no
06330108628-062201284361,10.1016/j.jengtecman.2023.101736,10.2307/41409967,2023-01,P12Y,no,no
0630517896-062201284361,10.1016/j.ipm.2021.102847,10.2307/41409967,2022-03,P11Y,no,no
06804853704-062201284361,10.1108/imds-03-2023-0172,10.2307/41409967,2024-04-02,P13Y,no,no
0635033451-062201284361,10.5859/kais.2014.23.2.67,10.2307/41409967,2014-06-30,P3Y,no,no
06404734758-062201284361,10.1142/s0219877024500421,10.2307/41409967,2024-06-14,P13Y,no,no
061901274682-062201284361,10.1111/1467-8551.12343,10.2307/41409967,2019-04,P8Y,no,no
062201766845-062201284361,10.1080/23311975.2021.1935665,10.2307/41409967,2021,P10Y,no,no
0605005544-062201284361,10.1108/mrjiam-01-2024-1507,10.2307/41409967,2025-02-19,P14Y,no,no
06140183649-062201284361,10.1108/cms-02-2021-0037,10.2307/41409967,2021-08-09,P10Y,no,no
06120460103-062201284361,10.1016/j.im.2016.08.001,10.2307/41409967,2017-04,P6Y,no,no
06240301482-062201284361,10.2139/ssrn.2796829,10.2307/41409967,2015,P4Y,no,no
06501604985-062201284361,10.1007/978-3-030-85447-8_34,10.2307/41409967,2021,P10Y,no,no
06310519563-062201284361,10.1080/26437015.2024.2404177,10.2307/41409967,2024-10-09,P13Y,no,no
06704714837-062201284361,10.1007/s13132-024-02046-0,10.2307/41409967,2024-05-22,P13Y,no,no
062403976369-062201284361,10.1109/3ict56508.2022.9990732,10.2307/41409967,2022-11-20,P11Y,no,no
06204712068-062201284361,10.1108/bpmj-02-2024-0075,10.2307/41409967,2024-09-10,P13Y,no,no
0680292642-062201284361,10.1016/j.jbusres.2016.09.004,10.2307/41409967,2017-01,P6Y,no,no
061703809293-062201284361,10.1007/978-3-031-12382-5_32,10.2307/41409967,2023,P12Y,no,no
06604744794-062201284361,10.1108/jbim-07-2022-0339,10.2307/41409967,2023-10-09,P12Y,no,no
06310359629-062201284361,10.1016/j.jbusres.2024.114500,10.2307/41409967,2024-03,P13Y,no,no
06120460033-062201284361,10.1016/j.im.2017.05.005,10.2307/41409967,2018-03,P7Y,no,no
061803436596-062201284361,10.1016/j.jbusres.2022.08.011,10.2307/41409967,2022-12,P11Y,no,no
061501017840-062201284361,10.1016/j.jsis.2017.10.002,10.2307/41409967,2018-03,P7Y,no,no
061103536114-062201284361,10.1016/j.jretconser.2022.103193,10.2307/41409967,2023-03,P12Y,no,no
06403393806-062201284361,10.4018/978-1-4666-2512-9.ch001,10.2307/41409967,,,no,no
062404423030-062201284361,10.2139/ssrn.4627028,10.2307/41409967,2023,P12Y,no,no
062101455848-062201284361,10.3233/jifs-189180,10.2307/41409967,2021-02-02,P10Y,no,no
061501427965-062201284361,10.1007/s40171-013-0048-3,10.2307/41409967,2013-11-01,P2Y,no,no
062103905457-062201284361,10.2139/ssrn.3963541,10.2307/41409967,2021,P10Y,no,no
06220735503-062201284361,10.1007/s11187-020-00410-3,10.2307/41409967,2020-10-17,P9Y,no,no
0660509617-062201284361,10.1108/bpmj-07-2017-0210,10.2307/41409967,2018-09-03,P7Y,no,no
06202582421-062201284361,10.1007/978-3-319-90503-7_11,10.2307/41409967,2018-08-21,P7Y,no,no
06310187882-062201284361,10.3390/su15032412,10.2307/41409967,2023-01-29,P12Y,no,no
061801316166-062201284361,10.29214/damis.2013.32.2.016,10.2307/41409967,2013-06,P2Y,no,no
06903984526-062201284361,10.1080/10580530.2023.2213839,10.2307/41409967,2023-05-24,P12Y,no,no
061104380176-062201284361,10.1016/j.joitmc.2024.100266,10.2307/41409967,2024-06,P13Y,no,no
062601964281-062201284361,10.3390/su13063132,10.2307/41409967,2021-03-12,P10Y,no,no
061401475427-062201284361,10.1007/978-3-030-97054-3_12,10.2307/41409967,2022,P11Y,no,no
061104380112-062201284361,10.1016/j.joitmc.2024.100408,10.2307/41409967,2024-12,P13Y,no,no
061901185983-062201284361,10.1177/0266666919884352,10.2307/41409967,2019-11-07,P8Y,no,no
0620770110-062201284361,10.2753/mis0742-1222290310,10.2307/41409967,2012-12,P1Y,no,no
061102621088-062201284361,10.1016/j.ijinfomgt.2018.01.005,10.2307/41409967,2019-04,P8Y,no,no
061602911934-062201284361,10.1109/icriis.2013.6716709,10.2307/41409967,2013-11,P2Y,no,no
06190450174-062201284361,10.3390/s19235180,10.2307/41409967,2019-11-26,P8Y,no,no
06250761213-062201284361,10.1080/07421222.2018.1481635,10.2307/41409967,2018-07-03,P7Y,no,no
0605705728-062201284361,10.1080/23311975.2025.2458758,10.2307/41409967,2025-02-04,P14Y,no,no
061302166846-062201284361,10.1111/deci.12477,10.2307/41409967,2020-08-12,P9Y,no,no
06103977834-062201284361,10.3390/joitmc8040205,10.2307/41409967,2022-11-24,P11Y,no,no
0630638731-062201284361,10.1080/0144929x.2014.934290,10.2307/41409967,2014-07-14,P3Y,no,no
06201291614-062201284361,10.1108/imds-10-2019-0554,10.2307/41409967,2020-07-14,P9Y,no,no
06301750672-062201284361,10.1111/jpim.12562,10.2307/41409967,2021-01,P10Y,no,no
062201928920-062201284361,10.3390/su13137160,10.2307/41409967,2021-06-25,P10Y,no,no
06430153944-062201284361,10.1007/s42524-022-0237-x,10.2307/41409967,2022-12-27,P11Y,no,no
061102036069-062201284361,10.1108/arla-05-2016-0131,10.2307/41409967,2017-08-07,P6Y,no,no
06902389664-062201284361,10.1145/3133264.3133290,10.2307/41409967,2017-08-25,P6Y,no,no
062501428182-062201284361,10.1080/14783363.2020.1842188,10.2307/41409967,2020-11-15,P9Y,no,no
061702645992-062201284361,10.1007/978-3-662-44745-1_27,10.2307/41409967,2014,P3Y,no,no
06370143775-062201284361,10.1109/tem.2022.3182479,10.2307/41409967,,,no,no
062401854893-062201284361,10.1108/ejim-10-2020-0423,10.2307/41409967,2021-02-08,P10Y,no,no
0652046165-062201284361,10.1108/itp-12-2013-0209,10.2307/41409967,2015-08-03,P4Y,no,no
061402236536-062201284361,10.1145/3377170.3377180,10.2307/41409967,2019-12-20,P8Y,no,no
0606688716-062201284361,10.29121/shodhkosh.v4.i2.2023.3962,10.2307/41409967,2023-12-31,P12Y,no,no
06310575105-062201284361,10.2139/ssrn.4822166,10.2307/41409967,2024,P13Y,no,no
061601554041-062201284361,10.1108/jbim-01-2020-0023,10.2307/41409967,2020-09-03,P9Y,no,no
061501427625-062201284361,10.1007/s40171-022-00303-2,10.2307/41409967,2022-04-15,P11Y,no,no
06403393691-062201284361,10.4018/978-1-4666-2512-9.ch010,10.2307/41409967,,,no,no
06204830346-062201284361,10.1007/s11135-024-01923-9,10.2307/41409967,2024-07-01,P13Y,no,no
061203581281-062201284361,10.1080/19416520.2016.1162422,10.2307/41409967,,,no,no
062303930193-062201284361,10.1109/tem.2022.3147905,10.2307/41409967,2024,P13Y,no,no
061601800587-062201284361,10.1108/jmtm-10-2020-0420,10.2307/41409967,2021-03-16,P10Y,no,no
06901370604-062201284361,10.4018/ijitbag.2014070104,10.2307/41409967,2014-07,P3Y,no,no
061601440102-062201284361,10.2196/32336,10.2307/41409967,2021-12-06,P10Y,no,no
0605827721-062201284361,10.1080/14783363.2024.2435871,10.2307/41409967,2025-01-06,P14Y,no,no
06104776170-062201284361,10.1038/s41598-024-56074-6,10.2307/41409967,2024-03-04,P13Y,no,no
061402639000-062201284361,10.1108/ijlm-04-2020-0157,10.2307/41409967,2021-03-11,P10Y,no,no
06250761221-062201284361,10.1080/07421222.2018.1451956,10.2307/41409967,2018-04-03,P7Y,no,no
06340524413-062201284361,10.2308/isys-2023-025,10.2307/41409967,2024-10-07,P13Y,no,no
06220902866-062201284361,10.4018/irmj.2018070103,10.2307/41409967,2018-07,P7Y,no,no
061302395832-062201284361,10.3917/sim.184.0067,10.2307/41409967,2018,P7Y,no,no
06201291616-062201284361,10.1108/imds-01-2020-0042,10.2307/41409967,2020-07-08,P9Y,no,no
061501214611-062201284361,10.1016/j.giq.2013.11.007,10.2307/41409967,2014-04,P3Y,no,no
06103881957-062201284361,10.1108/ijoa-04-2022-3246,10.2307/41409967,2022-08-16,P11Y,no,no
062501964997-062201284361,10.1108/md-04-2014-0197,10.2307/41409967,2015-02-09,P4Y,no,no
061903987326-062201284361,10.1016/j.indmarman.2023.04.003,10.2307/41409967,2023-05,P12Y,no,no
06803313020-062201284361,10.1109/iciii.2013.6703615,10.2307/41409967,2013-11,P2Y,no,no
061801118120-062201284361,10.1016/j.techfore.2021.121383,10.2307/41409967,2022-03,P11Y,no,no
06180557556-062201284361,10.1080/0960085x.2022.2035262,10.2307/41409967,2022-02-19,P11Y,no,no
06901814253-062201284361,10.5844/jsmd.21.1_91,10.2307/41409967,2018,P7Y,no,no
061904210788-062201284361,10.1016/j.techfore.2023.123129,10.2307/41409967,2024-03,P13Y,no,no
062104304213-062201284361,10.1016/j.indmarman.2024.11.002,10.2307/41409967,2024-11,P13Y,no,no
0680955865-062201284361,10.1142/s1363919622500207,10.2307/41409967,2022-02,P11Y,no,no
06202324926-062201284361,10.1017/jmo.2018.9,10.2307/41409967,2018-03-28,P7Y,no,no
06901960518-062201284361,10.3390/su14084531,10.2307/41409967,2022-04-11,P11Y,no,no
06401421993-062201284361,10.1108/jabs-10-2016-0132,10.2307/41409967,2018-12-10,P7Y,no,no
06601406382-062201284361,10.1016/j.cose.2022.102724,10.2307/41409967,2022-07,P11Y,no,no
061501942376-062201284361,10.3390/su132212703,10.2307/41409967,2021-11-17,P10Y,no,no
0680292682-062201284361,10.1016/j.jbusres.2016.08.009,10.2307/41409967,2017-01,P6Y,no,no
061201338906-062201284361,10.1109/tem.2019.2929500,10.2307/41409967,2021-12,P10Y,no,no
06701081202-062201284361,10.1016/j.jmse.2020.08.002,10.2307/41409967,2020-09,P9Y,no,no
061401392452-062201284361,10.2308/isys-51127,10.2307/41409967,2015-04-01,P4Y,no,no
06401421870-062201284361,10.1108/jabs-09-2020-0371,10.2307/41409967,2021-06-16,P10Y,no,no
0631074912-062201284361,10.1007/s11356-023-29689-x,10.2307/41409967,2023-09-23,P12Y,no,no
062604433854-062201284361,10.1016/j.heliyon.2024.e29580,10.2307/41409967,2024-04,P13Y,no,no
06704600995-062201284361,10.1007/s13132-023-01575-4,10.2307/41409967,,,no,no
06140569994-062201284361,10.1088/1742-6596/1175/1/012264,10.2307/41409967,2019-03,P8Y,no,no
0605032150-062201284361,10.1109/access.2025.3542575,10.2307/41409967,2025,P14Y,no,no
061302166916-062201284361,10.1111/deci.12379,10.2307/41409967,2019-06-06,P8Y,no,no
061901988131-062201284361,10.1007/s10479-020-03862-8,10.2307/41409967,2021-02-11,P10Y,no,no
06320135301-062201284361,10.1108/mscra-08-2022-0020,10.2307/41409967,2023-01-20,P12Y,no,no
062401013388-062201284361,10.1287/isre.2016.0660,10.2307/41409967,2017-03,P6Y,no,no
061301802924-062201284361,10.1108/jkm-11-2019-0624,10.2307/41409967,2020-08-20,P9Y,no,no
062104199532-062201284361,10.1080/17517575.2023.2292983,10.2307/41409967,2023-12-11,P12Y,no,no
061203449587-062201284361,10.1155/2022/6549647,10.2307/41409967,2022-08-25,P11Y,no,no
062202542626-062201284361,10.1109/icmit.2014.6942469,10.2307/41409967,2014-09,P3Y,no,no
062404214942-062201284361,10.3390/admsci14020037,10.2307/41409967,2024-02-19,P13Y,no,no
06704702051-062201284361,10.1109/tem.2023.3234174,10.2307/41409967,2024,P13Y,no,no
0635088424-062201284361,10.1016/j.jsis.2023.101755,10.2307/41409967,2023-03,P12Y,no,no
062104304205-062201284361,10.1016/j.indmarman.2024.07.010,10.2307/41409967,2024-08,P13Y,no,no
0607151025-062201284361,10.1108/ecam-01-2024-0042,10.2307/41409967,2025-01-29,P14Y,no,no
06120301519-062201284361,10.2139/ssrn.3184645,10.2307/41409967,2018,P7Y,no,no
06804853647-062201284361,10.1108/imds-02-2023-0086,10.2307/41409967,2024-04-22,P13Y,no,no
062403915599-062201284361,10.1007/s40171-022-00327-8,10.2307/41409967,2022-12-14,P11Y,no,no
0605405074-062201284361,10.1007/s40171-025-00442-2,10.2307/41409967,2025-03-21,P14Y,no,no
06220902869-062201284361,10.4018/irmj.2018040103,10.2307/41409967,2018-04-01,P7Y,no,no
06120460268-062201284361,10.1016/j.im.2014.10.003,10.2307/41409967,2015-01,P4Y,no,no
06470176196-062201284361,10.2478/jeb-2023-0007,10.2307/41409967,2023-06-01,P12Y,no,no
061404312005-062201284361,10.1016/j.heliyon.2024.e27725,10.2307/41409967,2024-03,P13Y,no,no
061403889601-062201284361,10.1108/jeim-03-2022-0077,10.2307/41409967,2023-03-28,P12Y,no,no
06504821307-062201284361,10.1108/ebhrm-07-2023-0178,10.2307/41409967,2024-04-29,P13Y,no,no
0660509576-062201284361,10.1108/bpmj-07-2017-0215,10.2307/41409967,2018-09-03,P7Y,no,no
061903999091-062201284361,10.1007/s10257-022-00576-1,10.2307/41409967,2022-12-10,P11Y,no,no
061102620210-062201284361,10.1016/j.ijinfomgt.2022.102535,10.2307/41409967,2022-10,P11Y,no,no
062501690389-062201284361,10.1007/s40305-018-0220-8,10.2307/41409967,2018-10-01,P7Y,no,no
062102552884-062201284361,10.4018/978-1-7998-4799-1.ch002,10.2307/41409967,2022,P11Y,no,no
06803132405-062201284361,10.15388/im.2020.90.47,10.2307/41409967,2020-12-28,P9Y,no,no
061501017797-062201284361,10.1016/j.jsis.2019.101576,10.2307/41409967,2019-12,P8Y,no,no
061501017841-062201284361,10.1016/j.jsis.2017.10.001,10.2307/41409967,2018-03,P7Y,no,no
062101362192-062201284361,10.17795/mejrh-30601,10.2307/41409967,2015-07-25,P4Y,no,no
062401960645-062201284361,10.1108/md-04-2018-0421,10.2307/41409967,2019-07-08,P8Y,no,no
062504315464-062201284361,10.1080/10580530.2024.2382109,10.2307/41409967,2024-07-30,P13Y,no,no
061303880773-062201284361,10.1080/13691066.2023.2249231,10.2307/41409967,2023-08-28,P12Y,no,no
06160869606-062201284361,10.1108/bfj-02-2019-0131,10.2307/41409967,2019-09-23,P8Y,no,no
06180557562-062201284361,10.1080/0960085x.2022.2027824,10.2307/41409967,2022-01-22,P11Y,no,no
06302584755-062201284361,10.1007/978-3-319-64069-3_8,10.2307/41409967,2017,P6Y,no,no
061601554416-062201284361,10.1108/jbim-06-2017-0141,10.2307/41409967,2018-09-18,P7Y,no,no
06104377165-062201284361,10.1109/tem.2022.3205922,10.2307/41409967,2024,P13Y,no,no
061401603279-062201284361,10.1287/serv.2017.0186,10.2307/41409967,2017-12,P6Y,no,no
06702642581-062201284361,10.4018/978-1-7998-0945-6.ch078,10.2307/41409967,2020,P9Y,no,no
06204674873-062201284361,10.1109/tem.2022.3232718,10.2307/41409967,,,no,no
0620817194-062201284361,10.1057/jit.2015.20,10.2307/41409967,2016-03,P5Y,no,no
06120310046-062201284361,10.2139/ssrn.1536768,10.2307/41409967,2011,P0Y,no,no
06204629914-062201284361,10.1016/j.jclepro.2024.140718,10.2307/41409967,2024-02,P13Y,no,no
06503133704-062201284361,10.3846/mla.2012.34,10.2307/41409967,2012-07-09,P1Y,no,no
06304343782-062201284361,10.1016/j.im.2022.103743,10.2307/41409967,2023-03,P12Y,no,no
0605915553-062201284361,10.1108/imds-09-2024-0920,10.2307/41409967,2025-03-13,P14Y,no,no
06203882958-062201284361,10.35817/publicuho.v5i3.8,10.2307/41409967,2022-08-08,P11Y,no,no
06503231934-062201284361,10.1016/j.csi.2018.04.001,10.2307/41409967,2018-08,P7Y,no,no
06303874683-062201284361,10.1007/s12063-022-00295-3,10.2307/41409967,2022-08-31,P11Y,no,no
0606582548-062201284361,10.1080/07366981.2025.2450875,10.2307/41409967,2025-01-13,P14Y,no,no
061803968741-062201284361,10.1016/j.dibe.2023.100199,10.2307/41409967,2023-10,P12Y,no,no
061102620195-062201284361,10.1016/j.ijinfomgt.2022.102544,10.2307/41409967,2022-12,P11Y,no,no
06150907629-062201284361,10.1108/tg-11-2019-0113,10.2307/41409967,2020-05-29,P9Y,no,no
061301802642-062201284361,10.1108/jkm-09-2021-0691,10.2307/41409967,2022-07-12,P11Y,no,no
0680843628-062201284361,10.1016/j.ijpe.2016.08.018,10.2307/41409967,2016-12,P5Y,no,no
061401489866-062201284361,10.9716/kits.2016.15.3.173,10.2307/41409967,2016-09-30,P5Y,no,no
061102349821-062201284361,10.4018/978-1-5225-5393-9.ch001,10.2307/41409967,2019,P8Y,no,no
06102400471-062201284361,10.2308/iace-51901,10.2307/41409967,2017-09-01,P6Y,no,no
06140248481-062201284361,10.1016/j.technovation.2021.102398,10.2307/41409967,2022-04,P11Y,no,no
061801177439-062201284361,10.1007/s11747-019-00703-4,10.2307/41409967,2019-11-11,P8Y,no,no
061404339600-062201284361,10.1108/jibr-04-2023-0124,10.2307/41409967,2024-09-17,P13Y,no,no
06803857800-062201284361,10.3389/fpsyg.2022.902693,10.2307/41409967,2022-09-13,P11Y,no,no
06802463094-062201284361,10.16972/apjbve.11.3.201606.63,10.2307/41409967,2016-06,P5Y,no,no
062401854887-062201284361,10.1108/ejim-08-2020-0324,10.2307/41409967,2021-02-23,P10Y,no,no
06404813125-062201284361,10.3390/su16104248,10.2307/41409967,2024-05-17,P13Y,no,no
0605561634-062201284361,10.1108/jabs-05-2024-0282,10.2307/41409967,2025-01-22,P14Y,no,no
06102083764-062201284361,10.4018/978-1-7998-3473-1.ch170,10.2307/41409967,2021,P10Y,no,no
0640312593-062201284361,10.2139/ssrn.2908166,10.2307/41409967,2017,P6Y,no,no
06201291760-062201284361,10.1108/imds-06-2018-0228,10.2307/41409967,2019-05-13,P8Y,no,no
0607328837-062201284361,10.1007/s11301-025-00497-6,10.2307/41409967,2025-03-12,P14Y,no,no
061302653444-062201284361,10.1109/mitp.2022.3157568,10.2307/41409967,2022-05-01,P11Y,no,no
06202232687-062201284361,10.1080/08874417.2015.11645796,10.2307/41409967,2015-12-07,P4Y,no,no
0607244920-062201284361,10.1080/14783363.2025.2451355,10.2307/41409967,2025-01-20,P14Y,no,no
061801117946-062201284361,10.1016/j.techfore.2022.121650,10.2307/41409967,2022-06,P11Y,no,no
06803849196-062201284361,10.1016/j.jclepro.2022.134376,10.2307/41409967,2022-12,P11Y,no,no
061902193641-062201284361,10.1007/978-3-319-90424-5_2,10.2307/41409967,2018,P7Y,no,no
06703920774-062201284361,10.1080/09537325.2022.2132140,10.2307/41409967,2022-10-31,P11Y,no,no
061801295014-062201284361,10.1080/09537287.2020.1815246,10.2307/41409967,2020-09-09,P9Y,no,no
061501017761-062201284361,10.1016/j.jsis.2021.101681,10.2307/41409967,2021-09,P10Y,no,no
06101271190-062201284361,10.1080/10580530.2022.2055813,10.2307/41409967,2022-04-11,P11Y,no,no
