DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
(missing DOI),The Effect of Applying Design of Experiments Techniques to Software Performance Testing,Gloria Johnson,(missing journal),2015,The Effect of Applying Design of Experiments Techniques to Software Performance Testing,6646600,0,111,,
10.1007/s11219-016-9338-2,Automated refinement of models for model-based testing using exploratory testing,"Ceren Sahin Gebizli, Hasan Sözer",Software Quality Journal,2017,"Model-based testing relies on models of the system under test to automatically generate test cases. Consequently, the effectiveness of the generated test cases depends on models. In general, these models are created manually, and as such, they are subject to errors like omission of certain system usage behavior. Such omitted behaviors are also omitted by the generated test cases. In practice, these faults are usually detected with exploratory testing. However, exploratory testing mainly relies on the knowledge and manual activities of experienced test engineers. In this paper, we introduce an approach and a toolset, ARME, for automatically refining system models based on recorded testing activities of these engineers. ARME compares the recorded execution traces with respect to the possible execution paths in test models. Then, these models are automatically refined to incorporate any omitted system behavior and update model parameters to focus on the mostly executed scenarios. The refined models can be used for generating more effective test cases. We applied our approach in the context of 3 industrial case studies to improve the models for model-based testing of a digital TV system. In all of these case studies, several critical faults were detected after generating test cases based on the refined models. These faults were not detected by the initial set of test cases. They were also missed during the exploratory testing activities.",32160103,41,47,,
10.1145/3551349.3556967,Constructing a System Knowledge Graph of User Tasks and Failures from Bug Reports to Support Soap Opera Testing,"Yanqi Su, Zheming Han, Zhenchang Xing, Xin Xia, Xiwei Xu, Liming Zhu, Q. Lu",International Conference on Automated Software Engineering,2022,"Exploratory testing is an effective testing approach which leverages the tester’s knowledge and creativity to design test cases to provoke and recognize failures at the system level from the end user’s perspective. Although some principles and guidelines have been proposed to guide exploratory testing, there are no effective tools for automatic generation of exploratory test scenarios (a.k.a soap opera tests). Existing test generation techniques rely on specifications, program differences and fuzzing, which are not suitable for exploratory test generation. In this paper, we propose to leverage the scenario and oracle knowledge in bug reports to generate soap opera test scenarios. We develop open information extraction methods to construct a system knowledge graph (KG) of user tasks and failures from the steps to reproduce, expected results and observed results in bug reports. We construct a proof-of-concept KG from 25,939 bugs of the Firefox browser. Our evaluation shows the constructed KG is of high quality. Based on the KG, we create soap opera test scenarios by combining the scenarios of relevant bugs, and develop a web tool to present the created test scenarios and support exploratory testing. In our user study, 5 users find 18 bugs from 5 seed bugs in 2 hours using our tool, while the control group finds only 5 bugs based on the recommended similar bugs.",252015886,8,58,,
10.1109/chase52884.2021.00026,Towards Human-Like Automated Test Generation: Perspectives from Cognition and Problem Solving,"Eduard Paul Enoiu, Robert Feldt","IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies",2021,"Automated testing tools typically create test cases that are different from what human testers create. This often makes the tools less effective, the created tests harder to understand, and thus results in tools providing less support to human testers. Here, we propose a framework based on cognitive science and, in particular, an analysis of approaches to problem solving, for identifying cognitive processes of testers. The framework helps map test design steps and criteria used in human test activities and thus to better understand how effective human testers perform their tasks. Ultimately, our goal is to be able to mimic how humans create test cases and thus to design more human-like automated test generation systems. We posit that such systems can better augment and support testers in a way that is meaningful to them.",76859851,7,14,,
(missing DOI),On the Industrial Applicability of Visual GUI Testing,Emil Alégroth,(missing journal),2013,"There is constant pressure on the software development industry to improve software quality and deliver new and innovative software faster and more efficiently. These demands affect all aspects of software development, from requirements engineering to testing. Today, much testing is performed with costly, tedious and error-prone manual practices, especially on higher levels of system abstraction such as in system and acceptance testing. Increased test automation has been proposed as a key solution to help alleviate these test-related problems and has found increasing use. Automated tests typically consist of scripts that can be executed to give frequent feedback on the system's quality, ensure that previously correct functionality has not been negatively affected by changes, and also relieve resources e.g. human testers. However, as a system evolves, changes to the requirements also require maintenance of the tests, which can be costly. Furthermore, most automated test techniques approach testing from a lower level of system abstraction, e.g. testing the low-level components and functions, but their use for system testing has been questioned. Test techniques have been proposed that automate the interaction with the graphical user interface (GUI) of a system. For example, record and replay tools can be used to automate system testing by emulating a user interacting with the system. Existing literature have pointed out several shortcomings of these techniques, for example they are sensitive to GUI layout and code changes, require access to source code, are dependent on a specific platform or operating system access etc. In this thesis we evaluate if Visual GUI Testing (VGT), a novel technique that combines test scripts with image recognition, can be used to automate high-level, software testing. The strength of VGT lies in the use of image recognition that makes the technique robust in instances where previous GUIbased test techniques had limitations. Yet, VGT is only sparsely applied in industry and the academic body of knowledge on the technique is limited; there is a lack of empirical evaluation and experience reports from industrial use. To fill this gap in knowledge we have conducted three empirical case studies applying different VGT tools in industrial software projects at two Swedish companies. We have also conducted an industrial survey with participants from multiple companies. These studies provide evidence that VGT can be successfully applied in industrial software development projects, but also detail challenges, problems and limitations that need to be overcome for more widespread industrial adoption. Future work should focus on evaluating the long-term maintenance costs of VGT test scripts, since our studies only present initial evidence that these costs are manageable in relation to the benefits of the technique.",131886797,15,103,,
10.1007/978-3-031-10873-0_6,Chapter 4 Technical Debt Tracking: Current State of Practice: A Survey and Multiple Case Study in 15 Large Organizations,"Antonio Martini, Terese Besker, Jan Bosch",Springer eBooks,2018,(missing abstract),257349831,0,221,,
10.1109/icst57152.2023.00048,LatteArt: A Platform for Recording and Analyzing Exploratory Testing,"Hiroyuki Kirinuki, Masaki Tajima, Haruto Tanno",International Conference on Information Control Systems & Technologies,2023,"Exploratory testing is an important activity for improving software quality. Despite this, few studies have been conducted to support exploratory testing. One reason for this is the lack of available data on exploratory testing activities. We propose LatteArt, a tool to support developers in recording, visualizing and managing exploratory testing activities. LatteArt has a rich user interface and a variety of features to support exploratory testing, and is publicly available. We conducted a questionnaire with three developers to assess whether LatteArt addresses the challenges of exploratory testing. In our questionnaire, two or more developers indicated that LatteArt helps to address 14 of the 17 exploratory testing weaknesses identified in the existing literature. The test activity data recorded by LatteArt is easily accessible via REST APIs, allowing researchers to use the data and facilitate exploratory testing research. Our tool and demo are available at: https://github.com/latteart-org/latteart",261930463,0,22,,
(missing DOI),FASSI 2016 Committee,"Chris Ireland, Fabio Fioravanti, Anup Gupta, V. Itsykson, Slinger Jansen, Massimo Marchiori, Richard Mordinyi, A. Duc, D. Perry, A. Hagemann, Gerrit Krepinsky, Mihaela Iridon, Daniel Flemstrom, Thomas Gustafsson, A. Kobetski, Daniel Sundmark, Kitija Trektere, F. McCaffery, Garret Coady, Matteo Gubellini, Young Jun Lee, J. Keum, Jang Soo, Lee Young Kuk, Kim, Daniel Flemstr¨om, Lee, Young Kuk Kim",(missing journal),2016,"—Over the past decades, a change from singular main-frame applications into complex distributed application land-scapes has occured. Consequently, the execution of business processes takes place in a distributed manner, requiring an extensive amount of communication between different applications. It becomes apparent that application interfaces are of overall signiﬁcance within distributed application landscapes. But in our experience, interfaces usually do not get the required attention during construction, which is in contrast to their importance. Instead, only technical descriptions, e.g., syntactical descriptions, are given and important functional as well as operational aspects have been omitted leading to unstable and unneccesary complex interfaces. To address the aforementioned problems, this paper contributes a comprehensive overview on interface construction. Therefore, all necessary interface speciﬁcation components, an interface design process and operational migration patterns are given.",269921949,0,79,,
10.1109/icse.2015.262,Poster: Is Carmen Better than George? Testing the Exploratory Tester Using HCI Techniques,"A. Borg, C. Porter, Mark Micallef",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,2015,"Exploratory software testing is an activity which can be carried out by both untrained and formally trained testers. In this paper, we propose using Human Computer Interaction (HCI) techniques to carry out a study of exploratory testing strategies used by the two groups of testers. This data will be used to make recommendations to companies with regards to the mix of skills and training required for testing teams.",101124146,6,6,,
10.1109/icse-seet52601.2021.00019,Structuring a Comprehensive Software Security Course Around the OWASP Application Security Verification Standard,"Sarah Elder, Nusrat Zahan, Valeri Kozarev, Rui Shu, Tim Menzies, Laurie Williams",2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),2021,"Lack of security expertise among software practitioners is a problem with many implications. First, there is a deficit of security professionals to meet current needs. Additionally, even practitioners who do not plan to work in security may benefit from increased understanding of security. The goal of this paper is to aid software engineering educators in designing a comprehensive software security course by sharing an experience running a software security course for the eleventh time. Through all the eleven years of running the software security course, the course objectives have been comprehensive - ranging from security testing, to secure design and coding, to security requirements to security risk management. For the first time in this eleventh year, a theme of the course assignments was to map vulnerability discovery to the security controls of the Open Web Application Security Project (OWASP) Application Security Verification Standard (ASVS). Based upon student performance on a final exploratory penetration testing project, this mapping may have increased students' depth of understanding of a wider range of security topics. The students efficiently detected 191 unique and verified vulnerabilities of 28 different Common Weakness Enumeration (CWE) types during a three-hour period in the OpenMRS project, an electronic health record application in active use.",191406134,12,32,,
10.1145/3689492.3689816,"tl;dr: Chill, y'all: AI Will Not Devour SE","Eunsuk Kang, Mary Shaw",arXiv (Cornell University),2024,"Social media provide a steady diet of dire warnings that artificial intelligence (AI) will make software engineering (SE) irrelevant or obsolete. To the contrary, the engineering discipline of software is rich and robust; it encompasses the full scope of software design, development, deployment, and practical use; and it has regularly assimilated radical new offerings from AI. Current AI innovations such as machine learning, large language models (LLMs) and generative AI will offer new opportunities to extend the models and methods of SE. They may automate some routine development processes, and they will bring new kinds of components and architectures. If we're fortunate they may force SE to rethink what we mean by correctness and reliability. They will not, however, render SE irrelevant.",278046148,3,41,,
10.25300/misq/2022/16292,The Complex Effects of Cross-Domain Knowledge on IS Development: A Simulation-Based Theory Development,"Jungpil Hahn, Gwanhoo Lee",MIS Quarterly,2021,"Information systems development (ISD) requires both business domain and technology domain knowledge. How cross-domain knowledge affects ISD outcomes is one of the most fundamental and persistent problems in the IS field. We argue that the effect of cross-domain knowledge depends on its distribution across business and IT units and ISD complexity in terms of level and pattern of design element interdependencies. We systematically investigate the complex effects of cross-domain knowledge on ISD performance by using simulations based on the NK fitness landscapes model. We find that cross-domain knowledge not only increases ISD performance but also reduces its variability. These effects are greater when ISD complexity is greater. Crossdomain knowledge is found to increase the robustness of ISD performance across different patterns of design element interdependencies. Interestingly, ISD performance is higher when cross-domain knowledge is unevenly distributed across business and IS units and when its distribution pattern matches the pattern of the design element interdependencies. These findings suggest that the effect of cross-domain knowledge on ISD performance is not fixed but depends on its structural pattern, the level and pattern of design element interdependencies, and their interactions. This study illuminates how and why challenges in ISD might be structural and how, why, and when cross-domain knowledge might help to overcome these challenges. We develop a theoretical framework and propositions based on our findings.",260852016,3,20,,
10.1016/j.jss.2022.111231,Discovering boundary values of feature-based machine learning classifiers through exploratory datamorphic testing,"Hong Zhu, Ian Bayley",(missing journal),2022,(missing abstract),22670451,6,74,,
10.1007/s10664-022-10179-6,Do I really need all this work to find vulnerabilities?,"Sarah Elder, Nusrat Zahan, Rui Shu, Monica Metro, Val Kozarev, T. Menzies, Laurie A. Williams",Empirical Software Engineering,2022,"Applying vulnerability detection techniques is one of many tasks using the limited resources of a software project. The goal of this research is to assist managers and other decision-makers in making informed choices about the use of software vulnerability detection techniques through an empirical study of the efficiency and effectiveness of four techniques on a Java-based web application. We apply four different categories of vulnerability detection techniques – systematic manual penetration testing (SMPT), exploratory manual penetration testing (EMPT), dynamic application security testing (DAST), and static application security testing (SAST) – to an open-source medical records system. We found the most vulnerabilities using SAST. However, EMPT found more severe vulnerabilities. With each technique, we found unique vulnerabilities not found using the other techniques. The efficiency of manual techniques (EMPT, SMPT) was comparable to or better than the efficiency of automated techniques (DAST, SAST) in terms of Vulnerabilities per Hour (VpH). The vulnerability detection technique practitioners should select may vary based on the goals and available resources of the project. If the goal of an organization is to find “all” vulnerabilities in a project, they need to use as many techniques as their resources allow.",277820502,25,71,,
10.1155/2019/7105281,Verification of Imaging Algorithm for Signal Processing Software within Synthetic Aperture Radar (SAR) System,"Letian Zeng, Chunhui Yang, Mao-sheng Huang, Yue-Long Zhao",Sci. Program.,2019,"In the signal processing software testing for synthetic aperture radar (SAR), the verification for algorithms is professional and has a very high proportion. However, existing methods can only perform a degree of validation for algorithms, exerting an adverse effect on the effectiveness of the software testing. This paper proposes a procedure-based approach for algorithm validation. Firstly, it describes the processing procedures of polar format algorithm (PFA) under the motion-error circumstance, based on which it analyzes the possible questions that may exist in the actual situation. By data simulation, the SAR echoes are generated flexibly and efficiently. Then, algorithm simulation is utilized to focus on the demonstrations for the approximations adopted in the algorithm. Combined with real data processing, the bugs concealed are excavated further, implementing a comprehensive validation for PFA. Simulated experiments and real data processing validate the correctness and effectiveness of the proposed algorithm.",147646447,3,14,,
10.1007/978-3-031-10873-0_3,Chapter 2 Modeling Continuous Integration Practice Differences in Industry Software Development,"Daniel Ståhl, Jan Bosch",Springer eBooks,2013,(missing abstract),258028373,0,239,,
10.1109/tse.2020.3048991,A Method to Assess and Argue for Practical Significance in Software Engineering,"R. Torkar, Carlo A. Furia, R. Feldt, F. G. O. Neto, Lucas Gren, Per Lenberg, Neil A. Ernst",IEEE Transactions on Software Engineering,2022,"A key goal of empirical research in software engineering is to assess practical significance, which answers the question whether the observed effects of some compared treatments show a relevant difference in practice in realistic scenarios. Even though plenty of standard techniques exist to assess statistical significance, connecting it to practical significance is not straightforward or routinely done; indeed, only a few empirical studies in software engineering assess practical significance in a principled and systematic way. In this paper, we argue that Bayesian data analysis provides suitable tools to assess practical significance rigorously. We demonstrate our claims in a case study comparing different test techniques. The case study's data was previously analyzed (Afzal et al., 2015) using standard techniques focusing on statistical significance. Here, we build a multilevel model of the same data, which we fit and validate using Bayesian techniques. Our method is to apply cumulative prospect theory on top of the statistical model to quantitatively connect our statistical analysis output to a practically meaningful context. This is then the basis both for assessing and arguing for practical significance. Our study demonstrates that Bayesian analysis provides a technically rigorous yet practical framework for empirical software engineering. A substantial side effect is that any uncertainty in the underlying data will be propagated through the statistical model, and its effects on practical significance are made clear. Thus, in combination with cumulative prospect theory, Bayesian analysis supports seamlessly assessing practical significance in an empirical software engineering context, thus potentially clarifying and extending the relevance of research for practitioners.",174748066,22,53,,
10.1007/978-3-031-10873-0_12,Chapter 9 SimSAX: A Measure of Project Similarity Based on Symbolic Approximation Method and Software Defect Inflow,"Miroslaw Ochodek, Miroslaw Staron, Wilhelm Meding",Springer eBooks,2019,(missing abstract),255973636,0,222,,
10.1016/j.jss.2020.110890,Efficient and effective exploratory testing of large-scale software systems,"Torvald Mårtensson, Daniel Ståhl, A. Martini, J. Bosch",Journal of Systems and Software,2021,(missing abstract),135407715,16,53,,
10.1007/s10664-015-9416-2,The impact of domain knowledge on the effectiveness of requirements engineering activities,"Ali Niknafs, D. Berry",Empirical Software Engineering,2017,(missing abstract),199572267,28,64,,
(missing DOI),Strategies of Automated Test Oracle – A Survey 1,"K. Kanagaraj, A. Chakrapani",(missing journal),(missing year),(missing abstract),239086274,1,28,,
10.3390/app121910016,A Methodical Approach to Functional Exploratory Testing for Embedded Systems,"Rafal Kimla, Robert Czerwinski",Applied Sciences,2022,"Functional exploratory testing is often considered a time- and resource-consuming activity, especially within embedded systems testing. The purpose of this paper is to present a case study of functional exploratory testing that demonstrates it to be a highly valuable technique and proves that applying the proposed methodical approach can overcome its disadvantages. This paper also provides a step-by-step framework that aids with the implementation of exploratory testing. The case study presents a low-voltage, near-motor variable frequency drive product. The results prove the effectiveness of the proposed approach.",251606037,0,23,,
10.1007/978-3-030-58793-2_38,The Human Factors of the Agile Software Tester.,"Lucas Paruch, Viktoria Stray, Raluca Florea",Communications in computer and information science,2020,"Although there has been extensive research on the technological aspects of the software testers, little investigation has been conducted within human factors determinant for the software testing role. The current paper explores the human factors of the software testers working in agile projects, through a qualitative study focusing on the perception of these factors, in a software service company. We interviewed 13 agile team members; 6 testers, 5 developers, and 2 designers. Additionally, we observed 11 meetings and observed the teams at work. Our results show that the following six traits are pivotal for the software testing role, seen by working agile software professionals: able to see the whole picture, having good communication skills, being detailed-oriented, structured, creative, and adaptable. Based on our results, we propose how organizations may think when recruiting agile software testers, how the traits may be used as a reference for those considering a software testing career.",195169751,2,35,,
10.1002/stvr.1754,Comparing the effectiveness of capture and replay against automatic input generation for Android graphical user interface testing,"S. Martino, A. R. Fasolino, L. L. L. Starace, Porfirio Tramontana","Software testing, verification & reliability",2020,"Exploratory testing and fully automated testing tools represent two viable and cheap alternatives to traditional test‐case‐based approaches for graphical user interface (GUI) testing of Android apps. The former can be executed by capture and replay tools that directly translate execution scenarios registered by testers in test cases, without requiring preliminary test‐case design and advanced programming/testing skills. The latter tools are able to test Android GUIs without tester intervention. Even if these two strategies are widely employed, to the best of our knowledge, no empirical investigation has been performed to compare their performance and obtain useful insights for a project manager to establish an effective testing strategy. In this paper, we present two experiments we carried out to compare the effectiveness of exploratory testing approaches using a capture and replay tool (Robotium Recorder) against three freely available automatic testing tools (AndroidRipper, Sapienz, and Google Robo). The first experiment involved 20 computer engineering students who were asked to record testing executions, under strict temporal limits and no access to the source code. Results were slightly better than those of fully automated tools, but not in a conclusive way. In the second experiment, the same students were asked to improve the achieved testing coverage by exploiting the source code and the coverage obtained in the previous tests, without strict temporal constraints. The results of this second experiment showed that students outperformed the automated tools especially for long/complex execution scenarios. The obtained findings provide useful indications for deciding testing strategies that combine manual exploratory testing and automated testing.",85285913,21,53,,
10.1109/access.2018.2829466,Hand Jitter Reduction Algorithm Software Test Automation Using Robotic Arm,"Debdeep Banerjee, Kevin Yu, Garima Aggarwal",IEEE Access,2018,"Hand jitter reduction (HJR) is an algorithm developed to offset the jitter effect caused by camera users. The hand jitter algorithm can be added and implemented in digital signal processing using hardware acceleration to execute these noise reduction algorithms. HJR involves the detection of noise in the camera images and the application of noise reduction algorithms to smoothen these noises. HJR tests are critical for validating the authenticity of the HJR algorithm. The challenge here is to be able to simulate similar motions to what a real-world user would experience while using the camera. We have inducted and programmed a robotic arm to simulate real-world user motions. We have developed software to simulate different motions, such as the generation of sine waves, and we also generate a randomized motion that is a combination of different motions, such as a sine wave, a cosine wave, and vertical, horizontal, and angular motions. In the robotic arm setup, the robot comprises six joints, and we can rotate the joints to generate a specific motion. We have developed an algorithm to find the locations of joints depending on the motion we need to simulate. For example, if we need a 30° rotation while the camera is at a specific location, we can calculate the joint value for specific joints in the robotic arm. The goal of HJR tests is also to categorize the results of the camera as having acceptable or non-acceptable results based on the induced motions. The test automation has immensely helped us to objectively benchmark the performance of the algorithm over several software builds. We have provided test results of computer vision use cases of camera panorama to show the effect of hand jitter on the quality of the software.",34614582,11,39,,
10.1109/icstw.2017.8,Impact of Education and Experience Level on the Effectiveness of Exploratory Testing: An Industrial Case Study,"Ceren Sahin Gebizli, Hasan Sözer","2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",2017,"Exploratory Testing (ET) is a widely applied approach in practice. This approach relies on the knowledge and experience of test engineers and technicians who perform ET. Hence, we aimed at evaluating the impact of education and experience level on the effectiveness of ET. We conducted an industrial case study for this purpose. 19 practitioners, who have different educational backgrounds and experience levels, were involved in applying ET for testing a Digital TV system. We measured the number of detected failures and categorized these failures based on their severity. We evaluated effectiveness from two aspects: criticality of the detected failures and efficiency in terms of number of failures detected per unit of time. The results show that the efficiency of ET is significantly affected by both the educational background and experience. When it comes to the number of critical failures detected, we cannot observe any impact of education on results. However, experience level has a significant impact for this aspect as well.",179436596,14,22,,
10.1088/1742-6596/1345/5/052082,Research on Graphic User Interface Automation Testing Technology Based on Cloud Platform,Xin Liu,Journal of Physics: Conference Series,2019,"As the soul of computer, software has more and more important influence on human beings. GUI (Graphical User Interface) technology is widely used because of its friendly interface and easy operation. It is an important part of software nowadays. No matter what kind of software, from requirement analysis to detailed code design stage, we need to use excellent testing technology to lay the foundation for the smooth development of software. Software testing technology has become an important branch affecting the development of software industry. Especially in the regression test conducted in the later stage of the test, it is necessary to verify whether the previously discovered problem is solved in the new version. Automating software testing can make a large number of tests programmatically repeated. Not only does it save a lot of labor, but it also improves test efficiency and guarantees the quality of the test. This paper proposes a graphical user interface automation test technology for cloud platforms, which provides assurance for testers to easily create and flexibly maintain test code.",175628720,0,31,,
