Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Exploiting deep reinforcement learning and metamorphic testing to automatically test virtual reality applications","Despite the rapid growth and popularization of virtual reality (VR) applications, which have enabled new concepts for handling and solving existing problems through VR in various domains, practices related to software engineering have not kept up with this growth. Recent studies indicate that one of the topics that is still little explored in this area is software testing, as VR applications can be built for practically any type of purpose, making it difficult to generalize knowledge to be applied. In this paper, we present an approach that combines metamorphic testing, agent‐based testing and machine learning to test VR applications, focusing on finding collision and camera‐related faults. Our approach proposes the use of metamorphic relations to detect faults in collision and camera components in VR applications, as well as the use of intelligent agents for the automatic generation of test data. To evaluate the proposed approach, we conducted an experimental study on four VR applications, and the results showed an accuracy of the solution ranging from 93% to 69%, depending on the complexity of the application tested. We also discussed the feasibility of extending the approach to identify other types of faults in VR applications. In conclusion, we discussed important trends and opportunities that can benefit both academics and practitioners.","S. Andrade; Fátima de Lourdes dos Santos Nunes; M. Delamaro","2023","Software testing, verification & reliability","10.1002/stvr.1863","6","Include"
"On the roles of software testers: An exploratory study","-","Raluca Florea; V. Stray; Dag I.K. Sjøberg","2023","Journal of Systems and Software","10.1016/j.jss.2023.111742","6","Include"
"SoapOperaTG: A Tool for System Knowledge Graph Based Soap Opera Test Generation","Exploratory testing is an effective testing approach for the system-level testing from the end user's perspective, which is widely practiced and appreciated in the software industry. Although many concrete principles and guidelines for performing exploratory testing have been proposed, there are no effective tools for automatic generation of exploratory test scenarios (a.k.a soap opera tests). In this paper, we propose a tool named SoapOperaTG for automatic soap opera test generation by leveraging the scenario and oracle knowledge in bug reports. We first construct a system knowledge graph (KG) of user tasks and failures from the preconditions, steps to reproduce (S2Rs), expected behavior (EB) and observed behavior (OB) in bug reports. Then, we create soap opera tests by combining the scenarios of relevant bugs based on the system knowledge graph. SoapOperaTG is implemented as a web tool to present the generated test scenarios. In our user study,5 users find 18 bugs in Mozilla Firefox (a mature, well-maintained software system) in 2 hours using SoapOperaTG, while the control group finds only 5 bugs based on the recommended similar bugs. SoapOperaTG can be found at https://github.com/SuYanqi/SYS-KG. Demo video can be found at https://youtu.be/xcXmY8qGDSc","Yanqi Su; Zheming Han; Zhenchang Xing; Xiwei Xu; Liming Zhu; Qinghua Lu","2023","2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","10.1109/icse-companion58688.2023.00023","5","Include"
"LatteArt: A Platform for Recording and Analyzing Exploratory Testing","Exploratory testing is an important activity for improving software quality. Despite this, few studies have been conducted to support exploratory testing. One reason for this is the lack of available data on exploratory testing activities. We propose LatteArt, a tool to support developers in recording, visualizing and managing exploratory testing activities. LatteArt has a rich user interface and a variety of features to support exploratory testing, and is publicly available. We conducted a questionnaire with three developers to assess whether LatteArt addresses the challenges of exploratory testing. In our questionnaire, two or more developers indicated that LatteArt helps to address 14 of the 17 exploratory testing weaknesses identified in the existing literature. The test activity data recorded by LatteArt is easily accessible via REST APIs, allowing researchers to use the data and facilitate exploratory testing research. Our tool and demo are available at: https://github.com/latteart-org/latteart","Hiroyuki Kirinuki; Masaki Tajima; Haruto Tanno","2023","International Conference on Information Control Systems & Technologies","10.1109/icst57152.2023.00048","-","Include"
"Constructing a System Knowledge Graph of User Tasks and Failures from Bug Reports to Support Soap Opera Testing","Exploratory testing is an effective testing approach which leverages the tester’s knowledge and creativity to design test cases to provoke and recognize failures at the system level from the end user’s perspective. Although some principles and guidelines have been proposed to guide exploratory testing, there are no effective tools for automatic generation of exploratory test scenarios (a.k.a soap opera tests). Existing test generation techniques rely on specifications, program differences and fuzzing, which are not suitable for exploratory test generation. In this paper, we propose to leverage the scenario and oracle knowledge in bug reports to generate soap opera test scenarios. We develop open information extraction methods to construct a system knowledge graph (KG) of user tasks and failures from the steps to reproduce, expected results and observed results in bug reports. We construct a proof-of-concept KG from 25,939 bugs of the Firefox browser. Our evaluation shows the constructed KG is of high quality. Based on the KG, we create soap opera test scenarios by combining the scenarios of relevant bugs, and develop a web tool to present the created test scenarios and support exploratory testing. In our user study, 5 users find 18 bugs from 5 seed bugs in 2 hours using our tool, while the control group finds only 5 bugs based on the recommended similar bugs.","Yanqi Su; Zheming Han; Zhenchang Xing; Xin Xia; Xiwei Xu; Liming Zhu; Q. Lu","2022","International Conference on Automated Software Engineering","10.1145/3551349.3556967","11","Include"
"Manufacturing Service Innovation and Foreign Trade Upgrade Model Based on Internet of Things and Industry 4.0","At present, the industrial Internet has gradually become a product of the integration of new generation of information technology and manufacturing. The development of the traditional manufacturing industry with transformation and upgrading faces various bottlenecks. These bottlenecks require the industry to make technological improvements through the concept of promoting sustainable development. At the same time, these issues also need intelligent support to match them. IoT technology can help enterprises realize product design and production, inspection and testing, risk early warning and post-sales, and other process links. The Internet of Things technology improved and innovated the industrial production process in the process. This technology has become the main means to promote industrialization and information integration, and it is an important basis for promoting manufacturing capabilities and networking forces. At present, the industrial Internet of our country is generally developing rapidly. However, this technology encountered many difficulties in the process of promoting discrete manufacturing and upgrading. There are still some difficulties in the entire technology landing application process. For example, there is still a significant gap in the breadth and depth of the Internet of Things applications. In particular, the value of data needs to strengthen. Based on the analysis of the risk solutions and development dilemma of artisanship, this article shows the benefits of the Internet of Things technology. Trend demand, practical application demand, production efficiency demand, after-sales service demand, and other aspects promote management innovation. This article first classifies the development of the industrial Internet in information transmission and development of the industry around the world. On this basis, this article has built a three-dimensional reference model for the industrial Internet to promote the transformation and upgrade of discrete manufacturing. In addition, this article proposes a strategy to promote the transformation and upgrade of discrete manufacturing. It includes three development stages: industrial Internet, industrial and commercial Internet, and industrial intelligence Internet. On this basis, the text explains the corresponding technical system and its challenges. Through the research results of this article, it provides theoretical guidance for the industrial Internet to promote the transformation and upgrade of discrete manufacturing.","Ling Liu; Ping Zhao","2022","Mathematical Problems in Engineering","10.1155/2022/4148713","4","Include"
"Do I really need all this work to find vulnerabilities?","Applying vulnerability detection techniques is one of many tasks using the limited resources of a software project. The goal of this research is to assist managers and other decision-makers in making informed choices about the use of software vulnerability detection techniques through an empirical study of the efficiency and effectiveness of four techniques on a Java-based web application. We apply four different categories of vulnerability detection techniques – systematic manual penetration testing (SMPT), exploratory manual penetration testing (EMPT), dynamic application security testing (DAST), and static application security testing (SAST) – to an open-source medical records system. We found the most vulnerabilities using SAST. However, EMPT found more severe vulnerabilities. With each technique, we found unique vulnerabilities not found using the other techniques. The efficiency of manual techniques (EMPT, SMPT) was comparable to or better than the efficiency of automated techniques (DAST, SAST) in terms of Vulnerabilities per Hour (VpH). The vulnerability detection technique practitioners should select may vary based on the goals and available resources of the project. If the goal of an organization is to find “all” vulnerabilities in a project, they need to use as many techniques as their resources allow.","Sarah Elder; Nusrat Zahan; Rui Shu; Monica Metro; Val Kozarev; T. Menzies; Laurie A. Williams","2022","Empirical Software Engineering","10.1007/s10664-022-10179-6","27","Include"
"Discovering Boundary Values of Feature-based Machine Learning Classifiers through Exploratory Datamorphic Testing","Testing has been widely recognised as difficult for AI applications. This paper proposes a set of testing strategies for testing machine learning applications in the framework of the datamorphism testing methodology. In these strategies, testing aims at exploring the data space of a classification or clustering application to discover the boundaries between classes that the machine learning application defines. This enables the tester to understand precisely the behaviour and function of the software under test. In the paper, three variants of exploratory strategies are presented with the algorithms implemented in the automated datamorphic testing tool Morphy. The correctness of these algorithms are formally proved. Their capability and cost of discovering borders between classes are evaluated via a set of controlled experiments with manually designed subjects and a set of case studies with real machine learning models.","Hong Zhu; Ian Bayley","2021","Journal of Systems and Software","10.1016/j.jss.2022.111231","9","Include"
"Exploring human factors of the agile software tester","Although extensive research has been conducted on the characteristics of the agile developer, little attention has been given to the features of the software-testing role. This paper explores the human factors of the software testers working in agile projects through a qualitative study focusing on how these factors are perceived. We interviewed 22 agile software practitioners working in three international companies: 14 testers, five developers, and three designers. Additionally, we observed 11 meetings and daily work of 13 participants in one of the companies. Our findings show that the views on the human factors shaping the agile software tester’s role were crystallized into seven traits, which the agile team members saw as central for the software-testing role: the ability to see the whole picture, good communication skills, detail-orientation, structuredness, creativeness, curiosity, and adaptability. The testers spent half their day communicating and learned how to mitigate the fact that they had to bring bad news to other project members. They also facilitated communication between the business side and development. Based on our results, we propose the seven traits as dimensions to consider for organizations recruiting agile software testers, as well as a reference for IT and non-IT professionals considering a software-testing career.","V. Stray; Raluca Florea; Lucas Paruch","2021","Software quality journal","10.1007/s11219-021-09561-2","26","Include"
"Efficient and effective exploratory testing of large-scale software systems","Abstract Context: Exploratory testing plays an important role in the continuous integration and delivery pipelines of large-scale software systems, but a holistic and structured approach is needed to realize efficient and effective exploratory testing. Objective: This paper seeks to address the need for a structured and reliable approach by providing a tangible model, supporting practitioners in the industry to optimize exploratory testing in each individual case. Method: The reported study includes interviews, group interviews and workshops with representatives from six companies, all multi-national organizations with more than 2,000 employees. Results: The ExET model (Excellence in Exploratory Testing) is presented. It is shown that the ExET model allows companies to identify and visualize strengths and improvement areas. The model is based on a set of key factors that have been shown to enable efficient and effective exploratory testing of large-scale software systems, grouped into four themes: “The testers’ knowledge, experience and personality”, “Purpose and scope”, “Ways of working” and “Recording and reporting”. Conclusions: The validation of the ExET model showed that the model is novel, actionable and useful in practice, showing companies what they should prioritize in order to enable efficient and effective exploratory testing in their organization.","Torvald Mårtensson; Daniel Ståhl; A. Martini; J. Bosch","2021","Journal of Systems and Software","10.1016/j.jss.2020.110890","10","Include"
"Boosting Exploratory Testing of Industrial Automation Systems with AI","Testing of large and complex industrial control systems is challenging as the space of possible input and environmental parameters is large. Searching the entire space for potential failures is practically infeasible. This paper introduces an industrial control system robustness testing problem and evaluates artificial intelligence (AI) based strategies to efficiently explore the space and to identify parameter sets that can cause the system to fail. The proposed solution approach uses regression techniques to speed up the search and clustering methods to identify parameter sets that represent distinct system failures.","R. Eidenbenz; C. Franke; Thanikesavan Sivanthi; Sandro Schönborn","2021","International Conference on Information Control Systems & Technologies","10.1109/icst49551.2021.00048","4","Include"
"Boosted Exploratory Test Architecture: Coaching Test Engineers with Word Similarity","Testing software using machine learning and neural network is difficult due to non-linearity. This paper proposes Boosted Exploratory Test architecture to support creativity of test engineers by using a non-linear test generator. This paper also shows experimental results Boosted Exploratory Test architecture with Word2Vec is better for a smart speaker.","Y. Nishi; Yusuke Shibasaki","2021","International Conference on Software Testing, Verification and Validation Workshops","10.1109/icstw52544.2021.00038","-","Include"
"Vulnerability Detection is Just the Beginning","Vulnerability detection plays a key role in secure software development. There are many different vulnerability detection tools and techniques to choose from, and insufficient information on which vulnerability detection techniques to use and when. The goal of this research is to assist managers and other decision-makers on software projects in making informed choices about the use of different software vulnerability detection techniques through empirical analysis of the efficiency and effectiveness of each technique. We will examine the relationships between the vulnerability detection technique used to find a vulnerability, the type of vulnerability found, the exploitability of the vulnerability, and the effort needed to fix a vulnerability on two projects where we ensure all vulnerabilities found have been fixed. We will then examine how these relationships are seen in Open Source Software more broadly where practitioners may use different vulnerability detection techniques, or may not fix all vulnerabilities found due to resource constraints.","Sarah Elder","2021","2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","10.1109/icse-companion52605.2021.00133","2","Include"
"Structuring a Comprehensive Software Security Course Around the OWASP Application Security Verification Standard","Lack of security expertise among software practitioners is a problem with many implications. First, there is a deficit of security professionals to meet current needs. Additionally, even practitioners who do not plan to work in security may benefit from increased understanding of security. The goal of this paper is to aid software engineering educators in designing a comprehensive software security course by sharing an experience running a software security course for the eleventh time. Through all the eleven years of running the software security course, the course objectives have been comprehensive - ranging from security testing, to secure design and coding, to security requirements to security risk management. For the first time in this eleventh year, a theme of the course assignments was to map vulnerability discovery to the security controls of the Open Web Application Security Project (OWASP) Application Security Verification Standard (ASVS). Based upon student performance on a final exploratory penetration testing project, this mapping may have increased students' depth of understanding of a wider range of security topics. The students efficiently detected 191 unique and verified vulnerabilities of 28 different Common Weakness Enumeration (CWE) types during a three-hour period in the OpenMRS project, an electronic health record application in active use.","Sarah Elder; Nusrat Zahan; Val Kozarev; Rui Shu; T. Menzies; L. Williams","2021","2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","10.1109/icse-seet52601.2021.00019","13","Include"
"Towards Human-Like Automated Test Generation: Perspectives from Cognition and Problem Solving","Automated testing tools typically create test cases that are different from what human testers create. This often makes the tools less effective, the created tests harder to understand, and thus results in tools providing less support to human testers. Here, we propose a framework based on cognitive science and, in particular, an analysis of approaches to problem solving, for identifying cognitive processes of testers. The framework helps map test design steps and criteria used in human test activities and thus to better understand how effective human testers perform their tasks. Ultimately, our goal is to be able to mimic how humans create test cases and thus to design more human-like automated test generation systems. We posit that such systems can better augment and support testers in a way that is meaningful to them.","Eduard Paul Enoiu; R. Feldt","2021","IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies","10.1109/chase52884.2021.00026","6","Include"
"How Developers Engineer Test Cases: An Observational Study","One of the main challenges that developers face when testing their systems lies in engineering test cases that are good enough to reveal bugs. And while our body of knowledge on software testing and automated test case generation is already quite significant, in practice, developers are still the ones responsible for engineering test cases manually. Therefore, understanding the developers’ thought- and decision-making processes while engineering test cases is a fundamental step in making developers better at testing software. In this paper, we observe 13 developers thinking-aloud while testing different real-world open-source methods, and use these observations to explain how developers engineer test cases. We then challenge and augment our main findings by surveying 72 software developers on their testing practices. We discuss our results from three different angles. First, we propose a general framework that explains how developers reason about testing. Second, we propose and describe in detail the three different overarching strategies that developers apply when testing. Third, we compare and relate our observations with the existing body of knowledge and propose future studies that would advance our knowledge on the topic.","M. Aniche; Christoph Treude; A. Zaidman","2021","IEEE Transactions on Software Engineering","10.1109/tse.2021.3129889","58","Include"
"Comparing the effectiveness of capture and replay against automatic input generation for Android graphical user interface testing","Exploratory testing and fully automated testing tools represent two viable and cheap alternatives to traditional test‐case‐based approaches for graphical user interface (GUI) testing of Android apps. The former can be executed by capture and replay tools that directly translate execution scenarios registered by testers in test cases, without requiring preliminary test‐case design and advanced programming/testing skills. The latter tools are able to test Android GUIs without tester intervention. Even if these two strategies are widely employed, to the best of our knowledge, no empirical investigation has been performed to compare their performance and obtain useful insights for a project manager to establish an effective testing strategy. In this paper, we present two experiments we carried out to compare the effectiveness of exploratory testing approaches using a capture and replay tool (Robotium Recorder) against three freely available automatic testing tools (AndroidRipper, Sapienz, and Google Robo). The first experiment involved 20 computer engineering students who were asked to record testing executions, under strict temporal limits and no access to the source code. Results were slightly better than those of fully automated tools, but not in a conclusive way. In the second experiment, the same students were asked to improve the achieved testing coverage by exploiting the source code and the coverage obtained in the previous tests, without strict temporal constraints. The results of this second experiment showed that students outperformed the automated tools especially for long/complex execution scenarios. The obtained findings provide useful indications for deciding testing strategies that combine manual exploratory testing and automated testing.","S. Martino; A. Fasolino; L. L. L. Starace; P. Tramontana","2020","Software testing, verification & reliability","10.1002/stvr.1754","21","Include"
"The Human Factors of the Agile Software Tester","-","Lucas Paruch; V. Stray; Raluca Florea","2020","Quality of Information and Communications Technology","10.1007/978-3-030-58793-2_38","2","Include"
"Towards a Model of Testers' Cognitive Processes: Software Testing as a Problem Solving Approach","Software testing is a complex, intellectual activity based (at least) on analysis, reasoning, decision making, abstraction and collaboration performed in a highly demanding environment. Naturally, it uses and allocates multiple cognitive resources in software testers. However, while a cognitive psychology perspective is increasingly used in the general software engineering literature, it has yet to find its place in software testing. To the best of our knowledge, no theory of software testers' cognitive processes exists. Here, we take the first step towards such a theory by presenting a cognitive model of software testing based on how problem solving is conceptualized in cognitive psychology. Our approach is to instantiate a general problem solving process for the specific problem of creating test cases. We then propose an experiment for testing our cognitive test design model. The experiment makes use of verbal protocol analysis to understand the mechanisms by which human testers choose, design, implement and evaluate test cases. An initial evaluation was then performed with five software engineering master students as subjects. The results support a problem solving-based model of test design for capturing testers' cognitive processes.","Eduard Paul Enoiu; Gerald Tukseferi; R. Feldt","2020","IEEE International Conference on Software Quality, Reliability and Security Companion","10.1109/qrs-c51114.2020.00053","17","Include"
"A systematic literature review on semantic web enabled software testing","Abstract Software testing, as a major verification and validation activity which revolves around quality tests, is a knowledge-intensive activity. Hence, it is reasonable to expect that it can be improved by effective application of semantic web technologies, e.g., ontologies, which have been frequently used in knowledge engineering activities. The objective of this work is to investigate and provide a better understanding of how semantic web enabled techniques, i.e., the techniques that are based on the effective application of the semantic web technologies, have been used to support software testing activities. For this purpose, a Systematic Literature Review based on a predefined procedure is conducted. A total of 52 primary studies were identified as relevant, which have undergone a thorough meta-analysis with regards to our posed research questions. This study indicates the benefits of semantic web enabled software testing in both industry and academia. It also identifies main software testing activities that can benefit from the semantic web enabled techniques. Furthermore, contributions of such techniques to the testing process are thoroughly examined. Finally, potentials and difficulties of applying these techniques to software testing, along with the promising research directions are discussed.","Mahboubeh Dadkhah; S. Araban; S. Paydar","2020","Journal of Systems and Software","10.1016/j.jss.2019.110485","31","Include"
"Exploring the team dynamic learning process in software process tailoring performance","Software process tailoring (SPT) is a knowledge- and learning-intensive activity in which a software project team customizes its software development processes to accommodate project particularities. Because SPT critically influences how a project is conducted, SPT performance should be investigated, but the extant literature lacks investigations into how team knowledge mechanisms and team environments contribute to SPT performance. To fill this gap, this study looks into a team's absorptive capacity (AC) and combines a transactive memory system (TMS) and team climate inventory (TCI) to develop a theoretical research model to facilitate the understanding of SPT performance.,This paper is a conceptual study that uses the propositional methodology with a focused review of existing literature pertaining to SPT, AC, TMS and TCI to develop a theoretical model to foster SPT performance. Because this study is conceptually established, further empirical research and studies are also suggested.,The proposed model provides guidance for firms conducting SPT. It also contributes to future research aiming to empirically understand the mechanisms behind the identified team-based knowledge and environmental enablers in the dynamic team learning process that lead to superior SPT performance.,The proposed model provides a fresh look at the dynamic capabilities theory in SPT and innovatively identifies a team's dynamic learning process to show how a team can conduct effective SPT through AC and facilitated by TMS. Environmental climates characterized by vision, participative safety, task orientation and support for innovation act as positive moderators in promoting the team dynamic learning process.","Jung-Chieh Lee; Chung-Yang Chen","2020","Journal of Enterprise Information Management","10.1108/jeim-07-2019-0202","21","Include"
"Combinatorial test list generation based on Harmony Search Algorithm","-","AbdulRahman A. Alsewari; Robin S. Poston; K. Z. Zamli; Mohammed Balfaqih; Khalid S. Aloufi","2020","Journal of Ambient Intelligence and Humanized Computing","10.1007/s12652-020-01696-7","17","Include"
"Excellence in Exploratory Testing: Success Factors in Large-Scale Industry Projects","-","Torvald Mårtensson; A. Martini; Daniel Ståhl; J. Bosch","2019","International Conference on Product Focused Software Process Improvement","10.1007/978-3-030-35333-9_21","7","Include"
