DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1109/seigs66664.2025.00017,Challenges of Conducting Research in Software Engineering: A case of graduate students in low resource contexts,"Rashidah Kasauli, Hawa Nyende, Halimu Chongomweru, Nasser Kimbugwe",2025 IEEE/ACM Symposium on Software Engineering in the Global South (SEiGS),2025,"Software engineering in low-resourced countries is just gaining momentum. A considerable number of students enroll for the masters program at Makerere University in hope of achieving the successful promises that come with undertaking studies in software engineering. However, many find themselves not completing studies, especially during the research year. Based on interviews with 10 of the 24 students opting for software engineering and at different stages of research, this paper presents challenges that graduate students face while undertaking software engineering research. We find challenges relating to the technical aspects of the research being conducted as well as administrative concerns. We conclude by highlighting the need for funding and improved domain support.",288208018,0,15,,
10.1109/ms.1986.234074,The Journal of Systems and Software,"Nouri Omheni, F. Zarai, Mohammad S. Obaidat, I. Smaoui, Lotﬁ Kamoun a",(missing journal),2013,",",227414612,175,1041,,
10.1109/iwsib66663.2025.00009,On the evaluation of StartupGPT: A Retrieval-Augmented AI Chatbot for Delivering Research-Driven Guidance to Startups,"Helene Fønstelien Sunde, Thea Lovise Ahlgren, Letizia Jaccheri, Anh Nguyen‐Duc",2025 IEEE/ACM International Workshop on Software-Intensive Business (IWSiB),2025,"[Introduction] The study addresses the challenge of transferring research knowledge to the industry, with a particular focus on small businesses and startups, which often lack access to empirical insights. Large Language Models (LLMs), particularly those using Retrieval-Augmented Generation (RAG), offer potential for embedding knowledge from startup research into an interactive chatbot to support startup mentorship. However, empirical work exploring this application is limited. [Objective] The primary objective of this research is to design and evaluate a version of ""StartupGPT,"" an AI-driven chatbot that uses LLMs and RAG to provide advice for software startups by leveraging a knowledge base rooted in software startup research. [Methodology] The study follows the Design Science Research Methodology (DSRM) and spans three iterative cycles, with this paper focusing on Cycle 3. The prototype was tested with 11 startup founders, who provided both qualitative and quantitative feedback on the chatbot’s usefulness and satisfaction. [Results] The findings from user tests indicate that StartupGPT was generally perceived as relevant, reliable, and helpful. However, limitations were noted in its responses, which users found overly theoretical, lacking in concrete examples, and insufficiently personalized for specific startup contexts. [Conclusion] Future LLM-based interaction designed for startups should focus on improving interactivity, incorporating more context-aware and specific advice, and leveraging advanced AI techniques, such as fine-tuning, to better align the chatbot’s responses with the unique needs of individual startups.",289004227,0,34,,
10.1145/3494519,Industry–Academia Research Collaboration and Knowledge Co-creation: Patterns and Anti-patterns,"D. Marijan, Sagar Sen",ACM Transactions on Software Engineering and Methodology,2022,"Increasing the impact of software engineering research in the software industry and the society at large has long been a concern of high priority for the software engineering community. The problem of two cultures, research conducted in a vacuum (disconnected from the real world), or misaligned time horizons are just some of the many complex challenges standing in the way of successful industry–academia collaborations. This article reports on the experience of research collaboration and knowledge co-creation between industry and academia in software engineering as a way to bridge the research–practice collaboration gap. Our experience spans 14 years of collaboration between researchers in software engineering and the European and Norwegian software and IT industry. Using the participant observation and interview methods, we have collected and afterwards analyzed an extensive record of qualitative data. Drawing upon the findings made and the experience gained, we provide a set of 14 patterns and 14 anti-patterns for industry–academia collaborations, aimed to support other researchers and practitioners in establishing and running research collaboration projects in software engineering.",277667288,31,59,,
10.3390/su13179849,Effects of Flipped Learning Approaches on Students’ Learning Performance in Software Engineering Education,Yen-Ting Lin,Sustainability,2021,"Software engineering education plays an important role in keeping students educated with software technologies, processes, and practices that are needed by industries. Nevertheless, the nature of software engineering learning activities in traditional classrooms is limited in scope and time, making it more difficult to achieve a proper balance between theory and practice and address industrial demands. This makes scant provision for assisting students in keeping their software engineering knowledge current. To support software engineering education, flipped learning is a suitable strategy. Prior studies have shown that students’ perceptions in flipped learning environments are better than those in traditional learning environments. Nevertheless, in flipped learning, students may not have sufficient ability to conduct learning out of class. Therefore, the flipped learning strategy should aim to meet the needs of students to ensure that they get the appropriate support or feedback during the learning process before the class. The aim of this study was to propose a flipped learning diagnosis approach to promote students’ learning out of class in the flipped classroom. To explore students’ learning performance in software engineering courses, three classes of students were invited to learn with three different learning approaches (traditional learning approach, flipped learning approach, and flipped learning diagnosis approach). The results showed that the students who learned with the flipped learning diagnosis approach outperformed those students who learned with the flipped learning approach or the traditional learning approach.",39277390,23,54,,
10.1016/j.infsof.2023.107364,Experiences from conducting rapid reviews in collaboration with practitioners — Two industrial cases,"Sergio Rico, N. Ali, Emelie Engström, Martin Höst",Information and Software Technology,2023,(missing abstract),266697907,3,36,,
10.1145/3183519.3183541,Mind the Gap: Can and Should Software Engineering Data Sharing Become a Path of Less Resistance?,K. Wallace,2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),2017,"The facility to process data is, arguably, the defining capability underpinning the transformative power of software: the relationships of each to the other are deep and extensive. This is reflected in the degree to which both software engineering practitioners and researchers rely upon data to direct their endeavours. Ironically however, while both the industrial and research communities are dependent upon data these dependencies present a dichotomy. Practitioners can suffer an abundance of data, much of it dark, which they struggle to interpret and apply beneficially. Isolated by gaps between industry and academia researchers often find themselves lacking data, watching as their industrial counterparts pursue a different and distinct course of action. Integrating evidence with experience gained in practice and through engagement with research this talk offers an industrial perspective on whether this situation can be improved upon; and what the benefits of achieving this outcome, particularly for practitioners, might be.",14944148,0,17,,
10.1007/s10664-020-09803-0,Practical relevance of software engineering research: synthesizing the community’s voice,"Vahid Garousi, Markus Borg, Markku Oivo",arXiv: Software Engineering,2018,"Software engineering (SE) research should be relevant to  practice. There have been regular discussions in the SE community on this issue since the 1980's, led by pioneers such as Robert Glass. As we recently passed the milestone of 50 years of software engineering, some recent positive efforts have been made in this direction, e.g., establishing industrial tracks in several SE conferences. However, many researchers and practitioners believe that we, as a community, are still struggling with research relevance and utility. The goal of this paper is to synthesize the evidence and experience-based opinions shared on this topic so far in the SE community, and to encourage the community to further reflect and act on the research relevance. For this purpose, we have conducted a Multi-vocal Literature Review (MLR) of 54 systematically-selected sources (papers and non peer-reviewed articles). Instead of relying on and considering the individual opinions on research relevance, mentioned in each of the sources, the MLR aims to synthesize and provide the holistic view on the topic. The highlights of our MLR findings are as follows. The top three root causes of low relevance, discussed in the community, are: (1) Researchers having simplistic views (or wrong assumptions) about SE in practice; (2) Lack of connection with industry; and (3) Wrong identification of research problems. The top three suggestions for improving research relevance are: (1) Using appropriate research approaches such as action-research; (2) Choosing relevant research problems; and (3) Collaborating with industry. By synthesizing all the discussions on this important topic so far, this paper aims to encourage further discussions and actions in the community to increase our collective efforts to improve the research relevance.",226557682,41,204,,
10.1108/jiuc-02-2020-0001,The industry engagement ladder,"Dylan Rees, Qiru Wang, R. Laramee",Journal of Industry-University Collaboration,2020,"PurposeThis paper is a response to a frequently asked question from prospective industry partners searching for opportunities to collaborate with the Computer Science Department of Swansea University, UK. This paper seeks to provide structured guidance in the form of what is titled the Industry Engagement Ladder.Design/methodology/approachThe Industry Engagement Ladder presents a selection of collaboration opportunities, outlining the possible cooperation mechanisms between an industry partner and the academic institution.FindingsOpportunities are described and ranked according to the amount of investment required by the industrial partner, and therefore risk, from low to high.Originality/valueThis concise paper provides a quick reference for perspective industry academia collaboration opportunities, the risks involved with each, the possible funding available to help foster these partnerships and the benefits to industry. These collaborative activities (and variations thereof) can be incorporated by any university department. The manuscript offers an ideal starting point for industry–university collaboration.",161790519,1,26,,
10.1145/3383219.3386125,Exploring and improving industry-academia communication in software engineering,Sergio Rico,EASE,2020,"Background: Despite the mutual benefit of the industry-academia partnership, the level of joint work is still low. For this reason, the interest in connecting research and practice has increased recently in the academic community. Objective: This research aims to design and apply approaches to improve the knowledge exchange between academic researchers and software engineering practitioners. Methodology: This work can be seen from a design science perspective. Following the design-science paradigm, the knowledge regarding a phenomenon is obtained through the design and evaluation of solutions that apply in a specific context. Consequently, this research work proposes and evaluates approaches to bridge the communication gap. Results: Two approaches have been explored and partially evaluated. The SERP-taxonomy architecture that can be used to describe and link research results and industry challenges, and rapid reviews to foster communication between industry and academia. Conclusion: This thesis will provide empirical evidence of the application of collaborative approaches to improve industry-academia communication and get closer research and practice.",186040468,1,21,,
10.5753/sbsi_estendido.2025.246908,"Plataforma Digital Inteligente para Integração de P&D em Projetos Colaborativos entre Industria, Academia e Governo","Denis de Gois Marques, C. M. D. O. Rodrigues, W. Santos",Brazilian Symposium on Information Systems,2025,"As colaborações entre a indústria, o governo e a academia têm sido cada vez mais fundamentais para impulsionar transformações digitais, tanto no desenvolvimento de produtos de software quanto na pesquisa e inovação de novas tecnologias aplicadas. O objetivo desta iniciativa é fortalecer essas parcerias e promover a integração desses setores por meio da inteligência artificial, utilizando tecnologias como Large Language Models (LLM) e aprendizado de máquina. Atualmente, dispomos de duas versões do MVP da plataforma proposta, que busca oferecer funcionalidades voltadas para diferentes públicos, como Empresas, Pesquisadores e ICTs.",286835267,0,3,,
10.1007/978-3-030-32489-6,Contemporary Empirical Methods in Software Engineering,"M. Felderer, G. Travassos",(missing journal),2020,(missing abstract),34009607,71,526,,
10.1145/3550356.3561609,Industrial requirements for supporting AI-enhanced model-driven engineering,"Johan Bergelin, P. Strandberg",ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,2022,"There is an increasing interest in research on the combination of AI techniques and methods with MDE. However, there is a gap between AI and MDE practices, as well as between researchers and practitioners. This paper tackles this gap by reporting on industrial requirements in this field. In the AIDOaRt research project, practitioners and researchers collaborate on AI-augmented automation supporting modeling, coding, testing, monitoring, and continuous development in cyber-physical systems. The project specifically lies at the intersection of industry and academia collaboration with several industrial use cases. Through a process of elicitation and refinement, 78 high-level requirements were defined, and generalized into 30 generic requirements by the AIDOaRt partners. The main contribution of this paper is the set of generic requirements from the project for enhancing the development of cyber-physical systems with artificial intelligence, DevOps, and model-driven engineering, identifying the hot spots of industry needs in the interactions of MDE and AI. Future work will refine, implement and evaluate solutions toward these requirements in industry contexts.",230133314,2,20,,
10.1109/iscaie64985.2025.11081117,Exploring Interactive Tourism Data Visualization for Effective Decision-Making and Spatial-Temporal Analysis,"Michelle C. Y. Chang, Ik-Jin Lee, JJF Kho",2025 IEEE 15th Symposium on Computer Applications & Industrial Electronics (ISCAIE),2025,"The tourism industry relies heavily on effective decision-making processes for both travelers and stakeholders alike. Information visualization plays a crucial role in facilitating these decisions by presenting complex and diverse data in intuitive and engaging ways. However, significant challenges remain for remote areas such as data availability, quality, and interpretation. Effective information visualization not only requires access to comprehensive and reliable data but also demands the ability to accurately interpret and communicate insights derived from this data. Addressing these challenges is essential to harness the full potential of information visualization in enhancing decision-making processes and driving innovation within the tourism sector. The main research objective of this paper is to investigate the feasibility, methodology and usability of interactive data visualization techniques within the realm of tourism based on a case study in Sarawak Tourism which is under-studied to demonstrate its effectiveness. By leveraging diverse datasets including visitor arrival statistics, destination popularity, transportation, and natural attractions, a web-based interactive visualization platform is implemented using Data-driven Document (D3.js) JavaScript library. A systematic methodology consists of three stages is proposed and implemented: (1) data collection and preparation, (2) iterative design and development followed by (3) usability study and improvement. As a results, a fully functional and interactive web-based tourism data visualization platform called “Adventure Sarawak” is created to address the research gaps and provide comprehensive insights into the Sarawak tourism industry through interactive features such as filtering, comparison tools, and details on demand etc. The research also delves into critical design considerations and challenges involved in developing such a visualization system. A usability study with 10 participants is conducted to validate the practicality and usability of the proposed solution. Overall, this paper aims to contribute to the field of smart tourism research by providing insights into the design and implementation of effective visualization solutions for tourism decision-making in under-studied areas using a case-study approach. Future work includes exploring the capability of such system in tourism demand forecasting and planning by including predictive and prescriptive machine learning models.",289231489,0,18,,
10.48550/arxiv.2507.13008,Bridging Boundaries: How to Foster Effective Research Collaborations Across Affiliations in the Field of Trust and Safety,"Amanda Menking, Mona Elswah, David J. Gruning, Lasse H. Hansen, Irene Huang, Julia Kamin, Catrine Normann",arXiv.org,2025,"As the field of Trust and Safety in digital spaces continues to grow, it has become increasingly necessary - but also increasingly complex - to collaborate on research across the academic, industry, governmental and non-governmental sectors. This paper examines how cross-affiliation research partnerships can be structured to overcome misaligned incentives, timelines and constraints while delivering on the unique strengths of each stakeholder. Drawing on our own experience of cross-sector collaboration, we define the main types of affiliation and highlight the common differences in research priorities, operational pressures and evaluation metrics across sectors. We then propose a practical, step-by-step framework for initiating and managing effective collaborations, including strategies for building trust, aligning goals, and distributing roles. We emphasize the critical yet often invisible work of articulation and argue that cross-sector partnerships are essential for developing more ethical, equitable and impactful research in trust and safety. Ultimately, we advocate collaborative models that prioritize inclusivity, transparency and real-world relevance in order to meet the interdisciplinary demands of this emerging field.",289403381,0,11,,
10.48550/arxiv.2506.12669,Towards Lean Research Inception: Assessing Practical Relevance of Formulated Research Problems,"Anrafel F. Pereira, Marcos Kalinowski, M. T. Baldassarre, Jurgen Borstler, Nauman Bin Ali, Daniel Méndez",arXiv.org,2025,"[Context] The lack of practical relevance in many Software Engineering (SE) research contributions is often rooted in oversimplified views of industrial practice, weak industry connections, and poorly defined research problems. Clear criteria for evaluating SE research problems can help align their value, feasibility, and applicability with industrial needs. [Goal] In this paper, we introduce the Lean Research Inception (LRI) framework, designed to support the formulation and assessment of practically relevant research problems in SE. We describe its initial evaluation strategy conducted in a workshop with a network of SE researchers experienced in industry-academia collaboration and report the evaluation of its three assessment criteria (valuable, feasible, and applicable) regarding their importance in assessing practical relevance. [Method] We applied LRI retroactively to a published research paper, engaging workshop participants in discussing and assessing the research problem by applying the proposed criteria using a semantic differential scale. Participants provided feedback on the criteria's importance and completeness, drawn from their own experiences in industry-academia collaboration. [Results] The findings reveal an overall agreement on the importance of the three criteria - valuable (83.3%), feasible (76.2%), and applicable (73.8%) - for aligning research problems with industrial needs. Qualitative feedback suggested adjustments in terminology with a clearer distinction between feasible and applicable, and refinements for valuable by more clearly considering business value, ROI, and originality. [Conclusion] While LRI constitutes ongoing research and requires further evaluation, our results strengthen our confidence that the three criteria applied using the semantic differential scale can already help the community assess the practical relevance of SE research problems.",288257625,0,18,,
10.1007/978-981-96-0201-8_53,"Internships and Projects: Policy, Practices, and Prognosis","Ranjini S Nadig, Tanu Shukla, Virendra Sıngh Nirban",Lecture notes in networks and systems,2025,(missing abstract),289316286,0,28,,
10.1145/3571473.3571504,Using Real Code to Teach Good Programming Practices,"R. Durelli, Renato Cordeiro, A. Goldman",Proceedings of the XXI Brazilian Symposium on Software Quality,2022,"“Talk is cheap. Show me the code”. Using real code examples is a way of engaging students while teaching Software Engineering. By applying this technique, this paper describes the experience of introducing good development practices in the course “Programming Techniques II”, offered for students of the Bachelor in Computer Science of the Institute of Mathematics and Statistics of the University of São Paulo (IME-USP). At the beginning of the course, students received two exercises: in the first, each student should present a code snippet that they consider well written; in the second, a code snippet that they consider problematic. The snippets were then analyzed in the classroom – with active participation of the students – to map good and bad practices. This process was repeated until reaching theoretical saturation. In the end, the discussions converged on many techniques used to write clean code, thus validating the use of a constructive approach to teach good development practices.",253217083,0,19,,
10.1108/heswbl-10-2019-0151,Drivers of strengthening university–industry collaboration: implications for favorable outcomes,"Md Aktar Kamal, Souman Guha, N. Begum, Md. Abu Taher","Higher Education, Skills and Work-based Learning",2023,"PurposeThe purpose of the study was to examine the factors that are important for strengthening university–industry collaboration (UIC). This study also investigates the outcome of UIC in the light of creativity, skill, knowledge, and research work.Design/methodology/approachA survey method has been used to collect data for the study. This study applied a purposive judgmental sampling technique where particular types of respondents like university faculty members and the top officials of the organizations were selected who are knowledgeable and can provide the desired information. The current study used the structural equation modeling method to analyze the data. In the first stage, this research assessed the demographic factors of the respondent. Then this study conducts confirmatory factors analysis and convergent and discriminant validity and reliability test. Finally, the hypotheses are tested by using nonparametric.FindingsThis study finds that knowledge transfer mechanism, governmental factors, organizational design factors, technology transfer and the collaborative network has a significant impact on strengthening UIC, which ultimately facilitates creativity, knowledge creation, skills development and supply of graduate according to the requirement of the industry, good research work.Originality/valueThe current study identified some important determinant that has a substantial influence on strengthening UIC. According to the study organizational design, government, technology, collaborative network and mechanism for knowledge transfer play very crucial roles in strengthening collaboration that ultimately increases the creativity, skills, knowledge and research capability of graduates.",264858593,8,52,,
10.1007/s13198-019-00899-2,Gap between academia and industry: a case of empirical evaluation of three software testing methods,Sheikh Umar Farooq,International Journal of System Assurance Engineering and Management,2019,(missing abstract),279556711,2,59,,
(missing DOI),Assessing the maturity of software testing services using CMMI-SVC: An industrial case study,"V. Garousi, Seyfettin Arkan, Gökhan Urul, Çagri Murat Karapiçak, M. Felderer",ArXiv,2020,"Context: While many companies conduct their software testing activities in-house, many other companies outsource their software testing needs to other firms who act as software testing service providers. As a result, Testing as a Service (TaaS) has emerged as a strong service industry in the last several decades. In the context of software testing services, there could be various challenges (e.g., during the planning and service delivery phases) and, as a result, the quality of testing services is not always as expected. Objective: It is important, for both providers and also customers of testing services, to assess the quality and maturity of test services and subsequently improve them. Method: Motivated by a real industrial need in the context of several testing service providers, to assess the maturity of their software testing services, we chose the existing CMMI for Services maturity model (CMMI-SVC), and conducted a case study using it in the context of two Turkish testing service providers. Results: The case-study results show that maturity appraisal of testing services using CMMI-SVC was helpful for both companies and their test management teams by enabling them objectively assess the maturity of their testing services and also by pinpointing potential improvement areas. Conclusion: We empirically observed that, after some minor customization, CMMI-SVC is indeed a suitable model for maturity appraisal of testing services.",236195780,1,52,,
10.23919/cisti54924.2022.9820166,Industry-Academy Collaboration in Agile Methodology: a Systematic Literature Review,"Denis de Gois Marques, Tamara Dallegrave, Luis E. L. Barbosa, Cleyton Rodrigues, W. Santos",2022 17th Iberian Conference on Information Systems and Technologies (CISTI),2022,"Industry-Academy Collaborative Research (IAC) in Software Engineering is being applied and developed widely in practice. These collaborative, research practices help both academic and software industry environments. As a way of observing what is being developed in SE, the objective of this article is to present an exploratory and empirical study of IAC practices in the context of Agile Software Development (ASD), exploring and characterizing solutions and practices, the challenges encountered in the application of the IAC and in collaboration. A Systematic Literature Review (SLR) was carried out in the five main academic databases, and snowballing was applied, evaluating/analyzing 8.460 articles, totaling 21 articles approved following the proposed criteria. As a result of the data analysis, 76 good practices and 37 challenges in carrying out the IAC were described. As well, practical collaborative models for the application of the IAC were detailed.",246192024,6,32,,
10.5277/e-inf180110,Semantic Knowledge Management System to Support Software Engineers: Implementation and Static Evaluation through Interviews at Ericsson,"A. Demirsoy, K. Petersen",e-Informatica Software Engineering Journal,2018,"Background: In large-scale corporations in the software engineering context information overload problems occur as stakeholders continuously produce useful information on process life-cycle issues, ...",154204825,4,68,,
10.1002/smr.2251,Exploring the industry's challenges in software testing: An empirical study,"V. Garousi, M. Felderer, M. Kuhrmann, Kadir Herkiloglu, Sigrid Eldh",J. Softw. Evol. Process.,2020,"Context Software testing is an important and costly software engineering activity in the industry. Despite the efforts of the software testing research community in the last several decades, variou ...",181582032,50,103,,
